"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_1000",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0
"OTU_100",914,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,67
"OTU_1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
"OTU_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
"OTU_1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"OTU_1005",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"OTU_1006",0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"OTU_1007",0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"OTU_1008",0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_1009",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"OTU_1010",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1012",0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"OTU_1013",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"OTU_1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"OTU_1015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"OTU_1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"OTU_1017",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1018",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"OTU_1019",0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0
"OTU_101",56,57,43,34,491,0,140,149,0,18,35,0,32,31,25,455,0,100
"OTU_1020",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"OTU_102",0,76,1602,0,0,0,0,0,14,187,0,0,0,0,0,0,0,0
"OTU_1021",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"OTU_1022",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
"OTU_1023",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"OTU_1025",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0
"OTU_1026",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"OTU_1027",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"OTU_1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"OTU_1029",0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_1030",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_103",0,2,34,16,0,6,32,0,408,157,11,88,165,434,0,92,53,35
"OTU_1031",0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0
"OTU_1032",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"OTU_1033",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0
"OTU_1034",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0
"OTU_1035",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_1036",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,0
"OTU_1037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"OTU_1038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"OTU_1039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"OTU_1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1042",0,4,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0
"OTU_104",10,224,1486,0,11,0,23,21,0,28,0,0,0,12,19,10,0,6
"OTU_1043",0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0
"OTU_1044",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"OTU_1045",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"OTU_1046",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,9,0
"OTU_1047",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"OTU_1048",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
"OTU_1049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"OTU_1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"OTU_105",0,0,242,28,0,22,41,0,699,75,14,0,86,0,97,0,203,0
"OTU_1051",0,2,0,0,0,0,0,0,6,0,0,3,0,0,0,0,8,0
"OTU_1052",0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,4,0
"OTU_1053",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"OTU_1054",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"OTU_1055",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0
"OTU_1056",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1057",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"OTU_1058",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1059",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"OTU_1063",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1064",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1065",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1066",0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0
"OTU_1067",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"OTU_106",4,504,424,10,14,0,0,0,0,0,14,0,8,429,88,0,0,0
"OTU_1068",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"OTU_1069",0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0
"OTU_1070",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0
"OTU_1071",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"OTU_1072",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1
"OTU_1073",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0
"OTU_1074",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"OTU_1075",0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0
"OTU_1076",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"OTU_107",434,115,373,27,16,0,368,75,0,13,0,0,0,0,1,0,83,0
"OTU_1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"OTU_1078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"OTU_1079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"OTU_1080",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0
"OTU_10",53,1356,3164,4675,28,3,2948,11,84,41,1346,30,6,0,5667,8644,723,35
"OTU_1081",0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_108",8,41,0,5,528,0,19,5,0,16,63,56,225,31,501,0,0,0
"OTU_1082",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14
"OTU_1083",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1084",0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,10,0
"OTU_1085",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"OTU_1086",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"OTU_1087",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"OTU_1088",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0
"OTU_1089",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_1090",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1091",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_109",88,0,91,100,71,72,40,0,95,52,206,113,188,109,0,0,250,0
"OTU_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"OTU_1093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"OTU_1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"OTU_1095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"OTU_1096",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1097",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1098",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0
"OTU_1099",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1100",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"OTU_110",0,1304,0,0,58,0,0,0,0,8,6,0,0,11,8,0,0,0
"OTU_1101",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"OTU_1102",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1103",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0
"OTU_1104",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1106",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1107",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1108",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"OTU_1109",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"OTU_1110",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"OTU_111",0,0,0,0,1288,0,0,26,0,0,0,0,0,0,0,36,0,12
"OTU_1111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0
"OTU_1112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"OTU_1114",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1115",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"OTU_1116",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"OTU_1117",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_1118",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1119",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1120",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_112",0,0,0,0,0,0,4,0,18,0,0,1444,0,11,0,0,0,0
"OTU_1121",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1122",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0
"OTU_1123",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_1124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"OTU_1125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"OTU_1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"OTU_1127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"OTU_1128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"OTU_1129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"OTU_1130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"OTU_113",0,0,78,0,0,0,140,45,0,0,0,0,665,430,0,0,14,0
"OTU_1131",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1132",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1133",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0
"OTU_1134",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1135",0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0
"OTU_1136",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11",25,13,226,3559,3508,7,34,21,17,42,23,39,10336,21,10,1920,17,1573
"OTU_1137",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"OTU_1138",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"OTU_1139",0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,4,0
"OTU_1140",0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0
"OTU_114",0,0,5,2,0,0,2,0,0,0,0,0,0,0,1315,0,223,0
"OTU_1141",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"OTU_1142",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"OTU_1143",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1144",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"OTU_1145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"OTU_1146",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1147",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1148",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1149",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1150",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",0,387,0,760,0,0,0,177,0,0,0,0,0,0,0,0,0,0
"OTU_1151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"OTU_1152",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_1153",0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0
"OTU_1154",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"OTU_1155",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"OTU_1156",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"OTU_1157",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1158",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"OTU_1159",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"OTU_1160",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"OTU_116",0,46,934,0,0,0,0,0,4,0,0,0,0,304,227,0,60,0
"OTU_1161",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"OTU_1162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"OTU_1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"OTU_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"OTU_1165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"OTU_1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"OTU_1167",0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1168",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1169",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"OTU_1170",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"OTU_117",0,8,3,8,0,121,7,0,48,14,0,798,0,0,0,0,347,0
"OTU_1171",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"OTU_1172",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0
"OTU_1173",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"OTU_1174",0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0
"OTU_1175",0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0
"OTU_1176",0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0
"OTU_1177",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"OTU_1178",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"OTU_1179",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_1180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"OTU_118",0,3,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0
"OTU_1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"OTU_1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"OTU_1183",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
