"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_101",55,50,42,31,506,0,135,158,0,22,31,0,31,32,24,455,0,115
"OTU_102",0,76,1615,0,0,0,0,0,12,175,0,0,0,0,0,0,0,0
"OTU_103",0,7,34,16,0,6,30,0,443,164,13,84,170,390,0,92,51,38
"OTU_104",17,223,1512,0,11,0,23,25,0,19,0,0,0,12,17,10,0,9
"OTU_1043",0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,3,16,0
"OTU_105",0,0,240,19,0,19,40,0,692,76,11,0,82,0,95,0,210,0
"OTU_1051",0,2,0,0,0,0,0,0,8,0,0,4,0,0,0,0,6,0
"OTU_106",6,534,417,7,20,0,0,0,0,0,9,0,11,460,98,0,0,0
"OTU_107",424,128,381,31,14,0,379,76,0,17,0,0,0,0,5,0,77,0
"OTU_10",54,1383,3186,4701,32,6,3002,9,89,38,1322,23,8,0,5625,8644,703,39
"OTU_108",11,35,0,7,518,0,17,7,0,14,59,63,227,32,491,0,0,0
"OTU_109",88,0,87,99,63,71,41,0,78,52,203,107,181,109,0,0,274,0
"OTU_110",0,1241,0,0,54,0,0,0,0,10,5,0,0,9,8,0,0,0
"OTU_111",0,0,0,0,1287,0,0,21,0,0,0,0,0,0,0,36,0,11
"OTU_112",0,0,0,0,0,0,6,0,12,0,0,1451,0,13,0,0,0,0
"OTU_113",0,0,71,0,0,0,159,44,0,0,0,0,662,426,0,0,16,0
"OTU_11",28,12,225,3632,3464,10,36,23,22,47,32,36,10376,25,13,1920,21,1576
"OTU_114",0,0,6,2,0,0,2,0,0,0,0,0,0,0,1368,0,239,0
"OTU_116",0,51,937,0,0,0,0,0,6,0,0,0,0,298,218,0,63,0
"OTU_117",0,8,7,5,0,113,10,0,64,16,0,818,0,0,0,0,342,0
"OTU_1186",0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,6,0
"OTU_119",0,0,0,0,0,64,0,0,80,0,0,79,0,0,390,0,0,723
"OTU_120",0,0,0,0,0,1178,0,0,11,3,0,22,0,0,0,0,3,0
