"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_10000",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_1000",0,0,0,0,0,0,18,0,0,0,27,31,24,25,0,18,0,23
"OTU_10001",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"OTU_10002",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_10003",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"OTU_10004",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_10005",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"OTU_10006",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"OTU_10007",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10008",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"OTU_10009",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"OTU_10010",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_1001",29,0,0,0,0,0,23,0,0,0,33,20,29,15,0,28,0,33
"OTU_100",83,51,83,88,87,0,97,101,61,63,145,123,142,182,137,143,85,204
"OTU_10011",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_10012",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10013",0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
"OTU_10014",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_10015",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10016",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"OTU_10017",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_10018",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10019",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10020",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_10021",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"OTU_10022",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_10023",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_1002",0,55,0,30,0,0,0,0,0,25,0,0,0,16,47,0,30,0
"OTU_10024",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_10025",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
