"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"B_OTU_100",0.00213669842387069,0.00116697955248871,0.00224496188785632,0.00222878764318665,0.00217848743656393,0,0.00305856701592877,0.00294006581431731,0.0015741007949209,0.00138519381719839,0.00392178833548098,0.00409654887860658,0.00360417790418281,0.00455952716014636,0.00401561315323917,0.00400213447171825,0.00229007633587786,0.00554091859738708
"B_OTU_101",0.00231266182348357,0.00324724745040337,0.00177508614388639,0.00282485875706215,0.00306968684243099,0,0.00348252680031494,0.00296703889518261,0.00291208647060367,0.00164904025856951,0.00549050366967337,0,0.00208404844799686,0.00298339431466366,0.00233074050153043,0.00392209178228388,0.00200052645433009,0.002797620664367
"B_OTU_102",0,0,0.00201002401587136,0.00189187788317006,0,0,0.00581430561443886,0,0.00160033580816958,0.00978430553417911,0.0017928175247913,0,0.0148825577404011,0,0.00146022296481424,0.0029615795090715,0.0019478810213214,0.00301491158975473
"B_OTU_103",0.00180990925316106,0.00202952965650211,0.00339354703978281,0.00256569740320323,0.00584230721623963,0.000991694558076113,0.00181697050451214,0.00159141177105249,0.0015741007949209,0.00189089949649304,0.00106448540534484,0.00374288998261177,0.00340803216790075,0.00199831128623698,0.00210609081463593,0.00429562433297759,0.001763622005791,0.0044816253361219
"B_OTU_104",0.00439908499032201,0.00152214724237658,0.00279315025582124,0.00357642668325299,0.00237653174897883,0.00133878765340275,0.00339167827508933,0.00218481955008901,0.00262350132486817,0.00268243882060641,0.0025771751918875,0.00271138486929357,0.0018879027117148,0.00284266816774557,0.00367863862289742,0.00224119530416222,0.00279020794946038,0.00225439335089768
"B_OTU_10",0.012795052914708,0.00819422598812725,0.00882322230343531,0.0108847768620743,0.0121302141354128,0.00324779967769927,0.012264550905457,0.00860441279602956,0.00440748222577852,0.0202062399683384,0.0102806879937251,0.00657216115057027,0.0119648899132055,0.00658598367576696,0.0105866164949033,0.0100586979722519,0.0173993156093709,0.0102669962245702
"B_OTU_105",0.00286568965083834,0.00651986402151301,0.00378511015975775,0.0026693619447468,0.00284688699096423,0.00061980909879757,0.00163527345406093,0.00126773480066893,0.00299079151034971,0.0020448099206262,0.00277326460866155,0.00159146503197666,0.00191242092875006,0.00197016605685336,0.00235882171239224,0.00162753468516542,0.0029218215319821,0.000869163701550914
"B_OTU_106",0.00279027676528996,0.0043888578821858,0.00514252897567088,0.00515731094179236,0.00306968684243099,0.000148754183711417,0.0012718793531585,0.00161838485191779,0.00202009602014849,0.00230865636199732,0.00313743066838478,0,0.0018879027117148,0.0020264565156206,0.00342590772514111,0.00152081109925293,0.0037115030271124,0.00445446397044843
"B_OTU_107",0.00183504688167718,0.00322187832969709,0.00164456510389475,0.0023583683201161,0.00398564178734992,0.0034957233172183,0,0.00194206182230134,0.0117532859354094,0.00230865636199732,0.0010924981791697,0.00120833456131561,0.00431520619820527,0,0.00162871022998512,0,0.00189523558831271,0.00526930494065242
"B_OTU_108",0.0023377994519997,0.00169973108732051,0.00193171139187637,0.00241020059088789,0.00220324297561579,0.00128920292549895,0.00208951608018896,0.0022927118735502,0.00191515596715376,0.00461731272399464,0.00352960950193288,0.00206301022663641,0.00404550581081744,0.00244863495637489,0.00244306534497768,0.0035752401280683,0.00178994472229534,0.00130374555232637
"B_OTU_109",0.00630954475754757,0.00943731290273479,0.00404615223974105,0.0068159436064894,0.00136155464785246,0,0.00211979892193083,0.00250849652047257,0,0.00393570941711924,0.000784357667096196,0,0.00264796743980778,0.00458767238952997,0,0,0,0.00230871608224462
"B_OTU_110",0.0119655111736759,0.00423664315794815,0.00138352302391145,0.000907064738506194,0.00113875479638569,0.000768563282508987,0.00184725334625401,0.00140260020499541,0.000393525198730225,0.00525494162397485,0.00184884307244103,0.000825204090654564,0.00637473642916687,0.000759921193357726,0.00140406054309062,0.000400213447171825,0.00089497236114767,0.00315071841812206
"B_OTU_111",0.00306679067896735,0.00190268405297072,0.00174898193588807,0.00173638107085471,0.00180715435078599,0,0.0021500817636727,0.00261638884393375,0.00175774588766167,0,0.00319345621603451,0.00294715746662344,0.00274604030794881,0.00464396284829721,0.00575664822667153,0.00330843116328709,0.00242168991839958,0.00453594806746883
"B_OTU_112",0.00183504688167718,0.00304429448475316,0.00409836065573771,0.00165863266469704,0.00383710855303874,0.00245444403123838,0,0.00140260020499541,0.00209880105989454,0.00716782832391548,0.00165275365566698,0,0.00215760309910263,0.00264565156206023,0.00131981691050518,0.0025880469583778,0.00207949460384312,0
"B_OTU_113",0.00178477162464493,0.00395758283017911,0.00164456510389475,0.00134763904006635,0.00155959896026736,0,0.00142329356186785,0.00215784646922371,0.00348925676207466,0.000857500934456147,0.00126057482211889,0.00321240163861955,0.00198597557985583,0.00250492541514213,0.00148830417567606,0.00152081109925293,0.000684390629112924,0.00173832740310183
"B_OTU_114",0,0,0.000234937871984964,0,0,0.0487913722573447,0,0,0,0.000351795255161496,0,0.000324187321328579,7.35546511057716e-05,0,0,0,0.000184259015530403,0
"B_OTU_11",0.00786807772554737,0.00827033335024608,0.0142006891510912,0.00891515057274659,0.0107934150266122,0.00476013387876534,0.0144449155108715,0.0111129093165021,0.00947083978277409,0.00831116290319034,0.00980447083870245,0.0139400548171289,0.00953758642671505,0.00971010413734872,0.012720788520401,0.0201974386339381,0.0111608317978415,0.0139609419561616
"B_OTU_115",0.00201101028129006,0.00507382414125526,0.00237548292784797,0.00220287150780076,0.0027973759128605,0,0.00290715280721943,0.0022927118735502,0.00288585145735499,0.00116532178272246,0.0032774945375091,0.00150305030797796,0.00152012945618595,0.00287081339712919,0.00376288225548286,0.00144076840981857,0.00186891287180837,0.00339517070918326
"B_OTU_116",0.00238807470903195,0.00134456339743264,0.00193171139187637,0.00256569740320323,0.00220324297561579,0,0.00317969838289625,0.00401898904892917,0.00270220636461421,0,0.00442601826432853,0,0.00215760309910263,0.00337742752603434,0.00415601920754823,0.00290821771611526,0.00210581732034746,0.00260749110465274
"B_OTU_117",0.00319247882154798,0.00223248262215232,0.00250600396783962,0.0026693619447468,0,0.00280153712656502,0,0.00744457031882182,0.00173151087441299,0,0,0.00250508384662993,0,0,0.00176911628429418,0,0.00531718873387734,0.0113806122171823
"B_OTU_118",0.00268972625122546,0.00276523415698412,0.00289756708781456,0.00342092987093765,0.00250030944423815,0,0.00178668766277027,0.00240060419701138,0.00194139098040245,0.000637628899980212,0.00282929015631128,0.00335975951195072,0.00215760309910263,0.00450323670137912,0.00393136952065373,0.00152081109925293,0.00152671755725191,0.00211858652253035
"B_OTU_119",0.00186018451019331,0.000634228017656908,0.00172287772788974,0.00243611672627378,0.00205470974130462,0.000446262551134251,0.00296771849070317,0.00277822732912553,0.00330561166933389,0.000989424155141707,0.00159672810801726,0.00223983967463382,0.00407002402785269,0.0034618632141852,0.00306085198393755,0.0048025613660619,0.00263227165043432,0.0016840046717549
"B_OTU_120",0.0015585329679998,0.00215637526003349,0.00297587971180954,0.00199554242471363,0.00207946528035648,0.00111565637783563,0.00336139543334747,0.00218481955008901,0.00196762599365113,0.00193487390338823,0.0018768558462659,0.00223983967463382,0.00161820232432698,0.00146355192794821,0.0024992277667013,0.00314834578441836,0.00247433535140827,0.00222723198522422
"B_OTU_121",0.0022372489379352,0.00352630777817241,0.00287146287981623,0.00282485875706215,0.00274786483475678,0,0.00172612197928654,0.00248152343960727,0.00320067161633917,0.0020228227171786,0.00221300913216427,0.00386077628127671,0.0015446476732212,0.0020264565156206,0.00300468956221392,0.00173425827107791,0.00218478546986049,0.00184697286579569
