"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_1000",0,0,0,0,0,0,19,0,0,0,30,31,22,26,0,21,0,23
"OTU_1001",33,0,0,0,0,0,22,0,0,0,37,18,28,13,0,29,0,33
"OTU_100",85,46,86,86,88,0,101,109,60,63,140,139,147,162,143,150,87,204
"OTU_1002",0,61,0,29,0,0,0,0,0,29,0,0,0,17,46,0,28,0
"OTU_1003",0,0,12,16,0,0,32,12,20,15,0,24,0,11,21,13,23,0
"OTU_1004",0,0,0,9,0,0,22,10,29,0,29,13,21,0,13,17,19,22
"OTU_1005",0,39,17,29,0,0,17,0,25,28,0,0,0,0,0,12,22,0
"OTU_1006",0,0,0,0,0,0,48,56,31,13,44,0,0,16,0,0,0,0
"OTU_1007",0,16,17,15,14,13,0,0,9,19,0,0,0,0,14,19,26,0
"OTU_1008",0,0,0,0,0,0,43,49,0,0,0,0,50,0,0,32,30,0
"OTU_1010",25,19,0,22,27,0,21,0,0,0,0,18,0,25,0,0,25,0
"OTU_101",92,128,68,109,124,0,115,110,111,75,196,0,85,106,83,147,76,103
"OTU_1012",0,0,0,31,0,0,25,34,19,0,0,38,0,16,48,0,0,0
"OTU_1013",13,13,11,0,0,0,10,19,0,0,25,18,12,10,17,20,0,19
"OTU_1015",14,0,23,0,14,0,14,0,0,0,0,10,0,8,18,24,13,0
"OTU_1016",16,0,0,0,16,0,0,0,8,0,94,11,26,0,0,0,0,15
"OTU_1017",5,0,10,0,0,152,0,0,0,0,0,8,0,0,0,15,0,33
"OTU_1018",0,0,22,0,27,0,11,32,0,0,16,0,0,34,28,0,10,26
"OTU_1019",0,0,0,56,0,0,0,0,0,0,0,0,0,44,52,34,0,0
"OTU_1020",0,0,0,0,23,32,28,0,0,26,0,0,0,0,12,28,0,0
"OTU_1022",11,0,11,22,18,0,0,0,17,28,0,10,21,0,0,18,0,0
"OTU_1023",16,0,16,22,0,0,23,0,0,0,26,0,20,34,0,0,0,40
"OTU_1024",26,13,0,0,0,0,0,0,24,0,20,24,30,0,18,0,19,20
"OTU_1025",56,0,0,0,31,0,0,32,0,0,0,0,31,48,0,0,0,0
"OTU_1026",0,16,7,0,0,0,13,13,0,13,20,16,0,25,22,9,17,19
"OTU_1027",11,0,12,0,12,42,12,0,0,0,0,3,0,0,0,14,0,0
"OTU_1028",0,28,30,42,0,0,0,0,0,0,0,0,0,0,4,0,40,0
"OTU_102",0,0,77,73,0,0,192,0,61,445,64,0,607,0,52,111,74,111
"OTU_1029",0,5,15,12,10,1,0,20,13,0,43,0,12,0,10,28,6,16
"OTU_1030",0,0,0,18,0,0,50,33,0,0,0,0,0,0,0,40,35,34
"OTU_103",72,80,130,99,236,40,60,59,60,86,38,127,139,71,75,161,67,165
"OTU_1032",0,0,0,0,0,0,0,24,25,0,0,35,10,0,12,0,31,49
"OTU_1033",20,0,0,0,0,110,0,24,27,28,0,0,0,0,0,0,0,0
"OTU_1034",0,0,0,22,0,0,0,33,0,0,0,60,0,46,0,25,0,0
"OTU_1036",0,0,0,0,0,0,10,14,0,0,52,6,10,16,28,19,9,27
"OTU_1037",28,0,27,25,0,8,10,0,0,0,0,0,14,0,15,25,0,0
"OTU_1038",66,0,0,27,0,0,0,0,0,33,6,0,0,0,0,0,10,0
"OTU_1039",0,18,0,0,19,65,21,0,0,0,9,18,22,0,23,17,0,0
"OTU_1041",19,0,25,0,29,0,0,0,0,0,24,16,0,36,0,0,0,14
"OTU_104",175,60,107,138,96,54,112,81,100,122,92,92,77,101,131,84,106,83
"OTU_1042",0,27,32,0,23,0,0,34,0,0,0,0,0,28,0,0,15,0
"OTU_1043",15,0,0,10,0,0,12,9,0,0,0,0,76,8,10,30,28,0
"OTU_1044",0,0,15,13,0,0,0,51,0,0,27,19,24,0,24,27,0,0
"OTU_1045",0,0,53,0,39,0,0,42,53,0,0,0,0,0,0,0,0,0
"OTU_1046",0,0,0,0,0,0,17,0,0,0,0,48,0,61,0,32,0,33
"OTU_1047",0,0,12,0,7,0,0,4,48,0,16,16,12,0,0,25,27,0
"OTU_1048",0,0,0,0,0,0,6,0,0,0,34,45,20,0,28,0,30,34
"OTU_1049",0,0,17,12,12,28,0,0,15,0,15,14,0,12,25,0,0,15
"OTU_1050",0,18,0,13,0,0,0,10,18,8,23,23,13,13,17,0,21,20
"OTU_10",509,323,338,420,490,131,405,319,168,919,367,223,488,234,377,377,661,378
"OTU_1051",8,0,7,8,0,0,0,6,3,9,12,4,19,0,12,0,0,0
"OTU_105",114,257,145,103,115,25,54,47,114,93,99,54,78,70,84,61,111,32
"OTU_1052",0,0,13,25,27,0,0,0,0,0,0,40,0,0,38,0,0,0
"OTU_1053",0,11,0,18,12,0,18,7,9,7,21,0,0,19,19,21,0,46
"OTU_1054",0,0,34,14,0,0,0,0,27,15,0,54,0,0,0,0,0,56
"OTU_1055",0,0,11,23,15,0,13,0,11,0,19,0,0,18,10,27,0,29
"OTU_1057",15,0,0,0,0,0,48,25,0,17,31,0,0,0,0,41,21,0
"OTU_1058",0,0,0,29,0,0,0,0,0,0,0,40,0,32,29,20,0,38
"OTU_1059",0,3,0,0,0,123,0,0,0,9,3,9,7,12,11,0,0,0
"OTU_1060",25,0,0,35,0,0,0,31,0,0,0,0,39,0,0,0,0,0
"OTU_1061",14,0,0,26,39,0,0,55,0,0,36,0,0,0,0,0,0,0
"OTU_1062",0,0,0,0,39,0,0,0,0,32,0,0,0,0,0,29,40,51
"OTU_106",111,173,197,199,124,6,42,60,77,105,112,0,77,72,122,57,141,164
"OTU_1063",12,7,30,13,12,0,0,9,19,0,0,0,0,20,32,12,2,22
"OTU_1065",36,63,23,25,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"OTU_1066",25,15,24,21,27,0,0,0,16,0,0,0,0,21,0,0,0,0
"OTU_1067",29,26,11,0,16,0,0,33,20,0,0,14,0,0,11,0,29,0
"OTU_1068",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,27
"OTU_1070",0,33,0,0,0,0,19,0,48,8,0,0,14,28,0,0,0,0
"OTU_107",73,127,63,91,161,141,0,72,448,105,39,41,176,0,58,0,72,194
"OTU_1072",0,0,0,9,2,0,0,16,0,6,0,21,19,11,0,12,10,10
"OTU_1073",80,0,0,45,0,0,0,0,0,0,0,0,0,17,0,0,50,0
"OTU_1075",10,0,19,9,14,0,0,21,9,0,13,22,7,18,0,13,0,0
"OTU_1076",0,0,0,21,0,0,0,0,21,0,0,25,28,18,21,19,0,0
"OTU_1077",31,0,0,27,0,0,0,23,0,0,0,0,54,0,0,0,50,0
"OTU_1078",0,0,0,0,93,0,60,25,0,0,0,0,0,0,0,6,0,0
"OTU_1079",33,0,0,34,0,0,0,0,0,0,0,0,0,35,31,0,24,0
"OTU_1080",0,0,0,0,17,0,18,16,6,33,0,13,0,0,0,21,0,21
"OTU_1081",18,21,49,0,24,0,0,0,0,0,0,0,0,22,32,15,0,0
"OTU_108",93,67,74,93,89,52,69,85,73,210,126,70,165,87,87,134,68,48
"OTU_1082",12,6,10,17,5,0,16,7,13,8,35,0,0,0,15,13,7,0
"OTU_1083",9,0,16,21,17,0,0,21,0,0,18,15,0,12,21,0,9,19
"OTU_1084",0,18,22,0,11,0,0,11,19,15,0,42,0,0,25,19,0,0
