"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_2",2384,1729,1675,1838,2444,467,2254,2954,451,4452,3696,1452,4114,2819,2814,2360,4183,2975
"OTU_3",111,129,96,54,60,73,85,101,0,52,73,104,93,76,97,61,121,80
"OTU_6",749,261,323,408,307,46,322,331,106,1047,1055,687,1699,711,828,759,561,911
"OTU_10",382,496,526,323,372,100,342,346,234,860,237,348,824,306,262,970,694,181
"OTU_11",618,417,894,274,1026,177,488,770,215,172,318,411,361,124,217,477,351,583
"OTU_13",1143,298,460,762,281,73,53,37,110,310,445,120,30,1024,80,965,233,183
"OTU_14",6,0,0,19,13,107,13,9,7263,9,9,16,0,0,0,7,12,0
"OTU_15",50,18,59,71,72,732,111,140,105,522,326,120,434,99,180,833,1143,928
"OTU_19",220,293,362,427,466,28,184,516,133,141,319,554,473,569,556,280,181,308
"OTU_20",155,33,112,434,77,55,285,460,94,272,830,252,568,335,306,375,512,401
"OTU_21",542,231,170,406,264,0,158,58,161,595,166,313,297,581,427,570,193,194
"OTU_23",414,343,266,473,454,96,181,371,220,163,322,285,208,424,355,202,185,245
"OTU_29",159,129,164,278,222,48,155,129,84,205,274,230,359,274,424,304,234,444
"OTU_34",249,190,162,432,986,46,53,201,59,56,211,64,72,164,132,67,209,173
"OTU_35",157,110,88,399,83,18,127,81,37,228,178,103,252,214,157,390,329,451
"OTU_38",790,263,285,605,172,54,44,8,51,175,80,56,12,254,31,53,8,11
"OTU_42",345,288,381,254,361,81,82,228,115,104,137,181,140,155,135,120,117,92
"OTU_43",161,222,152,270,227,49,59,228,65,113,147,579,142,150,210,271,105,78
"OTU_49",148,115,161,305,185,32,154,180,108,140,204,212,260,234,325,174,127,222
"OTU_50",85,0,53,129,44,30,96,170,55,117,444,237,260,168,208,189,308,271
"OTU_65",115,71,56,117,67,72,90,137,143,199,163,177,161,82,184,140,172,165
"OTU_70",141,120,211,135,290,56,107,167,66,29,104,151,135,152,85,146,92,0
"OTU_71",73,52,70,63,46,0,75,200,122,28,210,407,103,296,156,103,67,200
"OTU_73",0,0,0,0,10,3280,12,0,0,0,0,0,0,0,5,0,29,12
"OTU_83",92,158,114,89,63,0,82,55,58,118,60,150,121,193,168,99,102,151
"OTU_85",89,160,123,347,125,18,39,88,35,65,96,127,102,67,92,73,78,127
"OTU_89",50,59,75,152,24,36,46,130,165,76,70,70,106,28,41,113,84,19
"OTU_93",99,84,25,43,10,0,52,37,42,107,74,318,106,134,346,126,95,103
"OTU_94",230,32,94,108,130,236,54,213,51,32,146,84,149,66,92,182,68,66
"OTU_96",72,78,50,90,132,30,42,125,34,83,161,89,110,42,134,66,231,189
"OTU_98",138,255,146,124,116,25,76,126,72,54,86,46,73,117,106,68,84,90
"OTU_102",82,115,115,85,142,0,53,105,31,51,76,160,94,186,179,126,99,101
"OTU_107",66,122,116,99,181,13,52,73,30,85,106,87,156,87,85,94,96,81
"OTU_108",85,132,235,129,212,22,65,152,92,22,60,116,53,95,60,38,60,83
"OTU_110",4,145,29,0,17,4,596,25,81,335,8,0,0,5,0,35,33,0
"OTU_112",40,240,50,124,116,58,59,137,164,34,113,139,44,92,107,11,125,67
"OTU_116",10,71,90,71,13,0,39,0,87,540,8,64,22,0,54,12,28,27
"OTU_118",0,0,0,0,0,0,1624,18,0,0,0,28,0,0,0,0,0,0
"OTU_120",152,187,124,170,143,0,28,72,68,15,29,89,19,79,80,0,16,0
"OTU_124",57,136,59,64,67,0,197,50,49,25,26,71,34,41,58,66,79,78
"OTU_125",78,79,121,56,130,71,65,92,44,139,50,44,139,61,87,84,61,54
"OTU_130",50,0,0,0,31,0,0,70,75,0,0,168,0,0,231,0,145,646
"OTU_131",59,28,49,30,31,67,52,105,314,30,100,45,127,22,44,39,0,60
"OTU_134",10,0,0,10,0,0,66,63,23,49,94,237,121,288,160,139,85,228
