"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"rpoB_OTU_2",0.174038800705467,0.146083572999492,0.123333832559533,0.124221844934918,0.172059760674078,0.0441691099971626,0.222342094939192,0.225669849091469,0.0284849318838585,0.29707477073432,0.252125994965644,0.112062868369352,0.269657128125806,0.192915270464337,0.202924912689173,0.15989847715736,0.287067344522599,0.202954229317083
"rpoB_OTU_3",0.00825396825396825,0.0109118592454745,0.00688932155159503,0.00346632710809281,0.00509806698293564,0.00690437907878559,0.0079442918791683,0.00885432707114259,0,0.00381551643349622,0.00517041975644602,0.00785854616895874,0.00644496004124774,0.00547083361827258,0.00727590221187427,0.00444162436548223,0.00842677066648095,0.00543154269060078
"rpoB_OTU_6",0.047689594356261,0.0225004229402808,0.0241126254305826,0.0294284097340125,0.022020817106847,0.00435070462498818,0.031090623774029,0.0257930397289806,0.00653639741296271,0.0686792958029319,0.0763317232464794,0.0536738703339882,0.110015467904099,0.0497162005060521,0.059953434225844,0.0521009588268471,0.0406017132112264,0.0602768762005697
"rpoB_OTU_10",0.0244091710758377,0.0433936728133987,0.0416354650292047,0.0234153933220147,0.0278269489485237,0.00945805353258299,0.0312867791290702,0.0283338466276563,0.0161001788908766,0.0552245799584979,0.0161235458194435,0.0270333988212181,0.051559680329982,0.0194214593448677,0.0199359720605355,0.0702904681331077,0.0497945539382965,0.012585281844075
"rpoB_OTU_11",0.044373897707231,0.0340889866350871,0.0664220458289651,0.0186757215619694,0.0700276145294909,0.0167407547526719,0.0485484503726952,0.0594394825993225,0.014586486858401,0.0125845103420577,0.0206816790257841,0.0335559921414538,0.0248775457592163,0.00827463584763728,0.0155704307334109,0.0325014100394811,0.0245142419388537,0.0388156587401471
"rpoB_OTU_13",0.0790123456790123,0.0247843004567755,0.0356447506365134,0.05631013016412,0.0207463003611131,0.00690437907878559,0.0052961945861122,0.00246381275023098,0.00722443924590615,0.020148604324252,0.0287774678549561,0.00903732809430255,0.00251353441608662,0.0704369828352595,0.00574796274738068,0.0694444444444444,0.0160178285395919,0.0107306087302113
"rpoB_OTU_14",0.000423280423280423,0,0,0.00113186191284663,0.00106209728811159,0.0101201172798638,0.00127500980776775,0.000923929781336618,0.49793587450117,0.000669388847981793,0.000612286550105449,0.00133595284872299,0,0,0,0.000423011844331641,0.000557141862246675,0
"rpoB_OTU_15",0.00289241622574956,0.00143799695482998,0.00441815186460985,0.00551782682512733,0.00502726049706153,0.0692329518585075,0.0105923891722244,0.0110871573760394,0.00736204761249484,0.0352098534038423,0.021906252125995,0.0104518664047151,0.0297112657901521,0.00615468782055666,0.0122235157159488,0.0586576424139876,0.0795320008357128,0.0612704510829966
"rpoB_OTU_19",0.0160846560846561,0.0231771273896126,0.0272577504867455,0.031479909451047,0.030021950010621,0.00264825498912324,0.0175559042761867,0.0388820449645827,0.00935736892803082,0.00803266617578151,0.0231988570651065,0.0429076620825147,0.0310647073988141,0.0390480749504206,0.0397264260768335,0.0191060349689791,0.0125356919005502,0.0183480161621514
"rpoB_OTU_20",0.0114285714285714,0.00355269835899171,0.00853676800958514,0.0312676853423882,0.00616016427104723,0.00520192944292065,0.0287367595135347,0.0331074838312288,0.00639878904637402,0.0182073766651048,0.0569426491598068,0.0191748526522593,0.0361562258313998,0.0227039595158312,0.0222642607683353,0.0241821771009588,0.0330802980708963,0.0263628535470623
