"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_2",2467,1727,1647,1756,2430,467,2267,2931,414,4438,3706,1426,4184,2821,2789,2268,4122,3064
"OTU_3",117,129,92,49,72,73,81,115,0,57,76,100,100,80,100,63,121,82
"OTU_6",676,266,322,416,311,46,317,335,95,1026,1122,683,1707,727,824,739,583,910
"OTU_10",346,513,556,331,393,100,319,368,234,825,237,344,800,284,274,997,715,190
"OTU_11",629,403,887,264,989,177,495,772,212,188,304,427,386,121,214,461,352,586
"OTU_13",1120,293,476,796,293,73,54,32,105,301,423,115,39,1030,79,985,230,162
"OTU_14",6,0,0,16,15,107,13,12,7237,10,9,17,0,0,0,6,8,0
"OTU_15",41,17,59,78,71,732,108,144,107,526,322,133,461,90,168,832,1142,925
"OTU_19",228,274,364,445,424,28,179,505,136,120,341,546,482,571,546,271,180,277
"OTU_20",162,42,114,442,87,55,293,430,93,272,837,244,561,332,306,343,475,398
"OTU_21",569,221,179,393,257,0,158,65,130,598,162,327,277,627,417,573,202,199
"OTU_23",438,363,277,482,446,96,191,364,211,172,322,269,213,382,352,214,166,236
"OTU_29",188,129,151,254,227,48,146,139,80,210,265,240,360,275,440,350,225,449
"OTU_34",267,177,165,448,974,46,58,173,53,45,232,56,65,176,133,72,216,170
"OTU_35",178,121,90,382,82,18,109,98,34,209,161,100,241,211,180,391,350,456
"OTU_38",747,258,274,597,167,54,38,10,65,165,75,57,12,268,31,50,6,14
"OTU_42",352,285,392,261,369,81,104,231,135,113,140,192,141,152,138,116,129,84
"OTU_43",156,215,148,267,222,49,65,252,78,98,140,552,133,159,186,289,98,80
"OTU_49",161,115,164,311,181,32,149,164,108,144,221,206,271,236,339,175,138,198
"OTU_50",85,0,53,136,47,30,97,175,63,135,420,245,234,154,235,179,305,249
"OTU_65",107,70,57,129,73,72,75,125,150,218,150,174,169,84,177,129,153,154
"OTU_70",156,120,212,153,308,56,104,162,65,31,98,139,133,156,81,135,85,0
"OTU_71",64,49,68,62,61,0,78,185,122,21,211,414,113,262,150,97,63,216
"OTU_73",0,0,0,0,13,3280,8,0,0,0,0,0,0,0,8,0,33,8
"OTU_83",87,158,111,79,74,0,82,63,55,130,59,147,121,185,169,120,87,147
"OTU_85",86,167,125,359,119,18,40,88,33,67,88,110,95,74,101,69,77,110
"OTU_89",52,63,64,154,21,36,43,130,160,66,74,72,94,32,41,123,60,12
"OTU_93",96,90,33,37,6,0,53,52,52,129,92,318,82,131,344,137,87,100
"OTU_94",212,32,93,97,127,236,51,231,51,16,138,88,161,74,91,180,67,81
"OTU_96",78,86,55,85,127,30,43,113,29,85,145,99,108,38,128,69,243,195
"OTU_98",136,266,153,121,110,25,66,107,68,54,79,51,66,131,117,59,78,98
"OTU_102",69,110,134,95,144,0,62,106,34,39,80,164,101,194,196,129,101,102
"OTU_107",75,127,137,103,199,13,51,73,27,100,98,80,141,82,83,95,81,85
"OTU_108",80,136,248,133,208,22,67,157,88,16,56,112,58,85,58,40,60,90
"OTU_110",7,137,26,0,15,4,576,29,91,345,11,0,0,5,0,37,30,0
"OTU_112",42,232,46,121,118,58,63,125,183,43,112,141,44,94,104,9,120,60
"OTU_116",10,68,85,80,15,0,42,0,69,546,12,57,19,0,57,10,29,32
"OTU_120",163,176,128,185,148,0,34,84,63,10,33,96,21,84,79,0,13,0
"OTU_124",54,131,58,61,57,0,206,46,54,18,30,68,35,43,59,63,76,85
"OTU_125",74,72,129,61,128,71,59,92,52,142,47,48,131,67,75,82,49,52
