Position,Richness,taxa
Top,3997,Bacterial 16S
Top,3987,Bacterial 16S
Top,3744,Bacterial 16S
Top,3627,Bacterial 16S
Top,3780,Bacterial 16S
Top,1627,Bacterial 16S
Mid,4533,Bacterial 16S
Mid,3746,Bacterial 16S
Mid,4064,Bacterial 16S
Mid,3112,Bacterial 16S
Mid,4265,Bacterial 16S
Mid,4374,Bacterial 16S
Bottom,3879,Bacterial 16S
Bottom,4321,Bacterial 16S
Bottom,4510,Bacterial 16S
Bottom,4040,Bacterial 16S
Bottom,4531,Bacterial 16S
Bottom,3682,Bacterial 16S
Top,232,AM fungal 18S
Top,293,AM fungal 18S
Top,233,AM fungal 18S
Top,227,AM fungal 18S
Top,259,AM fungal 18S
Top,247,AM fungal 18S
Mid,317,AM fungal 18S
Mid,173,AM fungal 18S
Mid,685,AM fungal 18S
Mid,257,AM fungal 18S
Mid,226,AM fungal 18S
Mid,716,AM fungal 18S
Bottom,213,AM fungal 18S
Bottom,235,AM fungal 18S
Bottom,194,AM fungal 18S
Bottom,191,AM fungal 18S
Bottom,779,AM fungal 18S
Bottom,149,AM fungal 18S
Top,492,Rhizobial rpoB
Top,595,Rhizobial rpoB
Top,585,Rhizobial rpoB
Top,553,Rhizobial rpoB
Top,526,Rhizobial rpoB
Top,323,Rhizobial rpoB
Mid,761,Rhizobial rpoB
Mid,577,Rhizobial rpoB
Mid,505,Rhizobial rpoB
Mid,421,Rhizobial rpoB
Mid,496,Rhizobial rpoB
Mid,519,Rhizobial rpoB
Bottom,425,Rhizobial rpoB
Bottom,426,Rhizobial rpoB
Bottom,537,Rhizobial rpoB
Bottom,551,Rhizobial rpoB
Bottom,625,Rhizobial rpoB
Bottom,484,Rhizobial rpoB
