,node1,node2,weight2,weight,i,j,weight2
1,B_OTU_100,B_OTU_111,0.176595132,0.176595132,B,B,-0.176595132
2,B_OTU_100,B_OTU_167,-0.046492365,0.046492365,B,B,-0.046492365
3,B_OTU_100,B_OTU_188,0.327548183,0.327548183,B,B,-0.327548183
4,B_OTU_100,B_OTU_215,0.058425605,0.058425605,B,B,-0.058425605
5,B_OTU_100,B_OTU_250,0.218894122,0.218894122,B,B,-0.218894122
6,B_OTU_100,B_OTU_280,0.000786409,0.000786409,B,B,-0.000786409
7,B_OTU_100,B_OTU_348,0.041819191,0.041819191,B,B,-0.041819191
8,B_OTU_100,B_OTU_411,0.107899679,0.107899679,B,B,-0.107899679
9,B_OTU_100,B_OTU_424,0.083884053,0.083884053,B,B,-0.083884053
10,B_OTU_101,B_OTU_116,0.137257989,0.137257989,B,B,-0.137257989
11,B_OTU_101,B_OTU_123,0.018273707,0.018273707,B,B,-0.018273707
12,B_OTU_101,B_OTU_15,0.006069605,0.006069605,B,B,-0.006069605
13,B_OTU_101,B_OTU_158,0.366023398,0.366023398,B,B,-0.366023398
14,B_OTU_101,B_OTU_170,0.030322569,0.030322569,B,B,-0.030322569
15,B_OTU_101,B_OTU_72,-0.003306357,0.003306357,B,B,-0.003306357
16,B_OTU_101,AMF_OTU_183,0.013472508,0.013472508,B,A,-0.013472508
17,B_OTU_101,AMF_OTU_184,0.042616933,0.042616933,B,A,-0.042616933
18,B_OTU_101,AMF_OTU_21,-0.025272264,0.025272264,B,A,-0.025272264
19,B_OTU_101,AMF_OTU_32,0.116151529,0.116151529,B,A,-0.116151529
20,B_OTU_101,AMF_OTU_42,0.029694681,0.029694681,B,A,-0.029694681
21,B_OTU_102,B_OTU_12,0.07473216,0.07473216,B,B,-0.07473216
22,B_OTU_102,B_OTU_145,0.088332577,0.088332577,B,B,-0.088332577
23,B_OTU_102,B_OTU_174,0.382099867,0.382099867,B,B,-0.382099867
24,B_OTU_102,B_OTU_331,-0.060617573,0.060617573,B,B,-0.060617573
25,B_OTU_102,AMF_OTU_194,0.041500938,0.041500938,B,A,-0.041500938
26,B_OTU_102,AMF_OTU_26,0.318031509,0.318031509,B,A,-0.318031509
27,B_OTU_102,AMF_OTU_97,0.005033215,0.005033215,B,A,-0.005033215
28,B_OTU_103,B_OTU_122,-0.002885296,0.002885296,B,B,-0.002885296
29,B_OTU_103,B_OTU_180,0.075150709,0.075150709,B,B,-0.075150709
30,B_OTU_103,B_OTU_192,0.127643918,0.127643918,B,B,-0.127643918
31,B_OTU_103,B_OTU_196,0.194532602,0.194532602,B,B,-0.194532602
32,B_OTU_103,B_OTU_202,0.050478277,0.050478277,B,B,-0.050478277
33,B_OTU_103,B_OTU_247,0.062057983,0.062057983,B,B,-0.062057983
34,B_OTU_103,B_OTU_253,0.074746324,0.074746324,B,B,-0.074746324
