"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"B_OTU_100","B_OTU_100",9,0,0.141512853397141,"M2",-1.40398167106259,0.37037037037037,"Peripheral nodes","B","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","","",""
"B_OTU_101","B_OTU_101",11,930,0.12735877576884,"M1",-0.472055714024715,0.5,"Peripheral nodes","B","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_Gemmatimonadetes_bacterium"
"B_OTU_102","B_OTU_102",7,3,0.131002275572176,"M14",-0.543540021780111,0.795918367346939,"Connectors","B","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea",""
"B_OTU_103","B_OTU_103",14,287,0.128796525071012,"M3",0.652919321179841,0.833333333333333,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"B_OTU_104","B_OTU_104",11,652,0.132978146424629,"M4",-0.97156689380257,0.816568047337278,"Connectors","B","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured",""
"B_OTU_10","B_OTU_10",15,1344,0.514648130031735,"M9",1.52850688569788,0.816568047337278,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",""
"B_OTU_105","B_OTU_105",15,3125,0.120194416137933,"M12",1.44737363697029,0.86734693877551,"Connectors","B","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","",""
"B_OTU_106","B_OTU_106",15,1780,0.133558077488829,"M15",1.2236301343025,0.863905325443787,"Connectors","B","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"B_OTU_107","B_OTU_107",10,2,0.133206993214728,"M8",0.822953838743336,0.865051903114187,"Connectors","B","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","",""
"B_OTU_108","B_OTU_108",13,2599,0.1221815036431,"M7",0.19404598126119,0.76,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes","metagenome"
"B_OTU_109","B_OTU_109",15,4443,0.130175629423796,"M6",1.44645560372425,0.277777777777778,"Peripheral nodes","B","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","metagenome"
"B_OTU_110","B_OTU_110",8,66,0.124880694727898,"M6",-0.951615528765955,0.805555555555556,"Connectors","B","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","",""
"B_OTU_111","B_OTU_111",11,725,0.128720952220739,"M2",-0.619403678409964,0.809917355371901,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055",""
"B_OTU_112","B_OTU_112",12,1780,0.111223565693065,"M9",0.593302014843258,0.816608996539792,"Connectors","B","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Blastocatellales","Blastocatellaceae","uncultured",""
"B_OTU_113","B_OTU_113",14,730,0.0906049056932084,"M3",0.652919321179841,0.76530612244898,"Connectors","B","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured",""
"B_OTU_114","B_OTU_114",5,0,0.138778073256822,"M5",-0.663363484573013,0.802469135802469,"Connectors","B","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea","uncultured_bacterium"
"B_OTU_11","B_OTU_11",10,3,0.553277345407178,"M13",-1.03433589624873,0.776859504132231,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"B_OTU_115","B_OTU_115",18,546,0.120418957324991,"M1",1.86700686895168,0.448979591836735,"Peripheral nodes","B","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"B_OTU_116","B_OTU_116",11,488,0.11686882753258,"M1",-0.472055714024715,0.833333333333333,"Connectors","B","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"B_OTU_117","B_OTU_117",11,5160,0.120972074327973,"M7",-0.504519551279095,0.826666666666667,"Connectors","B","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","",""
"B_OTU_118","B_OTU_118",11,16,0.119409590888325,"M3",-0.591156682689855,0.857142857142857,"Connectors","B","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","",""
"B_OTU_119","B_OTU_119",11,567,0.118731960043429,"M13",-0.572578799709117,0.839506172839506,"Connectors","B","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"B_OTU_120","B_OTU_120",13,1197,0.107993771011532,"M13",0.350935393370104,0.809917355371901,"Connectors","B","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",""
"B_OTU_121","B_OTU_121",17,2941,0.116817996420514,"M3",1.89699532504954,0.888888888888889,"Connectors","B","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",""
"B_OTU_122","B_OTU_122",14,1371,0.115933329271354,"M12",1.1870546375152,0.444444444444444,"Peripheral nodes","B","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Blastocatellales","Blastocatellaceae","uncultured",""
"B_OTU_12","B_OTU_12",11,3791,0.48582357251157,"M14",0.520410659151171,0.8,"Connectors","B","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","",""
"B_OTU_123","B_OTU_123",14,1291,0.111167098098053,"M13",0.812692489909714,0.736111111111111,"Connectors","B","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_Gemmatimonadetes_bacterium"
