,name,Order
B_OTU_100,B_OTU_100,Others
B_OTU_101,B_OTU_101,Gemmatimonadales
B_OTU_102,B_OTU_102,Others
B_OTU_103,B_OTU_103,Sphingomonadales
B_OTU_104,B_OTU_104,Others
B_OTU_10,B_OTU_10,Rhizobiales
B_OTU_105,B_OTU_105,Others
B_OTU_106,B_OTU_106,Pyrinomonadales
B_OTU_107,B_OTU_107,Others
B_OTU_108,B_OTU_108,Rhizobiales
B_OTU_109,B_OTU_109,Others
B_OTU_110,B_OTU_110,Chitinophagales
B_OTU_111,B_OTU_111,Sphingomonadales
B_OTU_112,B_OTU_112,Others
B_OTU_113,B_OTU_113,Others
B_OTU_114,B_OTU_114,Chitinophagales
B_OTU_11,B_OTU_11,Sphingomonadales
B_OTU_115,B_OTU_115,Pyrinomonadales
B_OTU_116,B_OTU_116,Pyrinomonadales
B_OTU_117,B_OTU_117,Others
B_OTU_118,B_OTU_118,Others
B_OTU_119,B_OTU_119,Others
B_OTU_120,B_OTU_120,Rhizobiales
B_OTU_121,B_OTU_121,Others
B_OTU_122,B_OTU_122,Others
B_OTU_12,B_OTU_12,Chitinophagales
B_OTU_123,B_OTU_123,Gemmatimonadales
B_OTU_124,B_OTU_124,Others
B_OTU_125,B_OTU_125,Chitinophagales
B_OTU_126,B_OTU_126,Others
B_OTU_127,B_OTU_127,Others
B_OTU_128,B_OTU_128,Others
B_OTU_129,B_OTU_129,Chitinophagales
B_OTU_131,B_OTU_131,Others
B_OTU_132,B_OTU_132,Rhizobiales
B_OTU_133,B_OTU_133,Sphingomonadales
B_OTU_13,B_OTU_13,Others
B_OTU_134,B_OTU_134,Sphingomonadales
B_OTU_135,B_OTU_135,Sphingomonadales
B_OTU_1,B_OTU_1,Others
B_OTU_136,B_OTU_136,Others
B_OTU_137,B_OTU_137,Others
B_OTU_138,B_OTU_138,Chitinophagales
B_OTU_139,B_OTU_139,Chitinophagales
B_OTU_140,B_OTU_140,Others
B_OTU_141,B_OTU_141,Others
B_OTU_142,B_OTU_142,Sphingomonadales
B_OTU_143,B_OTU_143,Others
B_OTU_144,B_OTU_144,Sphingomonadales
B_OTU_14,B_OTU_14,Gemmatimonadales
B_OTU_145,B_OTU_145,Others
B_OTU_146,B_OTU_146,Others
B_OTU_147,B_OTU_147,Others
B_OTU_148,B_OTU_148,Rhizobiales
B_OTU_149,B_OTU_149,Sphingomonadales
B_OTU_150,B_OTU_150,Others
B_OTU_151,B_OTU_151,Gemmatimonadales
B_OTU_152,B_OTU_152,Others
B_OTU_153,B_OTU_153,Sphingomonadales
B_OTU_154,B_OTU_154,Others
B_OTU_155,B_OTU_155,Rhizobiales
B_OTU_15,B_OTU_15,Pyrinomonadales
B_OTU_156,B_OTU_156,Chitinophagales
B_OTU_157,B_OTU_157,Sphingomonadales
B_OTU_158,B_OTU_158,Others
B_OTU_159,B_OTU_159,Pyrinomonadales
B_OTU_160,B_OTU_160,Others
B_OTU_161,B_OTU_161,Chitinophagales
B_OTU_163,B_OTU_163,Gemmatimonadales
B_OTU_16,B_OTU_16,Rhizobiales
B_OTU_164,B_OTU_164,Chitinophagales
B_OTU_165,B_OTU_165,Chitinophagales
B_OTU_166,B_OTU_166,Gemmatimonadales
B_OTU_167,B_OTU_167,Rhizobiales
B_OTU_168,B_OTU_168,Others
B_OTU_169,B_OTU_169,Others
B_OTU_170,B_OTU_170,Rhizobiales
B_OTU_171,B_OTU_171,Others
B_OTU_172,B_OTU_172,Rhizobiales
B_OTU_173,B_OTU_173,Rhizobiales
B_OTU_174,B_OTU_174,Chitinophagales
B_OTU_17,B_OTU_17,Others
B_OTU_175,B_OTU_175,Rhizobiales
B_OTU_176,B_OTU_176,Others
B_OTU_177,B_OTU_177,Rhizobiales
B_OTU_178,B_OTU_178,Gemmatimonadales
B_OTU_179,B_OTU_179,Chitinophagales
B_OTU_180,B_OTU_180,Others
B_OTU_181,B_OTU_181,Rhizobiales
B_OTU_182,B_OTU_182,Gemmatimonadales
B_OTU_183,B_OTU_183,Chitinophagales
B_OTU_18,B_OTU_18,Others
B_OTU_184,B_OTU_184,Others
B_OTU_185,B_OTU_185,Rhizobiales
B_OTU_186,B_OTU_186,Others
