"","PNA_B","PPA_B"
"CH2.1",-0.0485912825628762,0.0921149175792168
"CH2.2",-0.0510200961439594,0.0881631219052419
"CH2.3",-0.0482731351056657,0.0907226213910963
"CH3.1",-0.0478125295744632,0.0930766571307387
"CH3.2",-0.048390541025118,0.0933004374634764
"CH3.3",-0.0542035636342675,0.0934494706308159
"CH4.1",-0.0465081707436551,0.0918124372976913
"CH4.2",-0.0462749681599961,0.0942891834130098
"CH4.3",-0.0461346432303582,0.0890322288189349
"CH5.1",-0.0500442801506425,0.0895301755092173
"CH5.2",-0.0501376672374934,0.0934618969532797
"CH5.3",-0.0459932499798497,0.0954458783733435
"CH6.1",-0.048035823789466,0.0961428403355228
"CH6.2",-0.0450476787556482,0.0937334236071133
"CH6.3",-0.0474729865573913,0.0946068076358393
"CH7.1",-0.0473732925093418,0.0957278085628017
"CH7.2",-0.0504207790374841,0.0939294249547169
"CH7.3",-0.0485435091410482,0.0948710099050004
