Position,CPCoA1,CPCoA2,taxa
Top,-0.299005739,-0.078727187,Bacteria
Top,-0.359105699,-0.050344748,Bacteria
Top,-0.308753714,-0.075880112,Bacteria
Top,-0.262604059,-0.068545967,Bacteria
Top,-0.272816835,-0.085629915,Bacteria
Top,-0.460519944,-0.024789572,Bacteria
Mid,0.137088003,0.37801691,Bacteria
Mid,0.119225376,0.312095073,Bacteria
Mid,0.065999989,0.330426512,Bacteria
Mid,0.073000994,0.294208188,Bacteria
Mid,0.115897952,0.287613279,Bacteria
Mid,0.137708371,0.289438639,Bacteria
Bottom,0.240522295,-0.21689135,Bacteria
Bottom,0.192746816,-0.2476333,Bacteria
Bottom,0.222313126,-0.275278528,Bacteria
Bottom,0.237263734,-0.24490656,Bacteria
Bottom,0.197360374,-0.242480258,Bacteria
Bottom,0.223678959,-0.280691103,Bacteria
Top,-0.355184957,-0.121277208,AMF
Top,-0.315277147,-0.15033301,AMF
Top,-0.354589525,-0.086506103,AMF
Top,-0.32597913,-0.079239051,AMF
Top,-0.342647557,-0.078428008,AMF
Top,-0.194170537,-0.144539804,AMF
Mid,0.187280935,-0.237630247,AMF
Mid,0.184715407,-0.278706981,AMF
Mid,0.376192579,-0.282872588,AMF
Mid,0.265472733,-0.175835248,AMF
Mid,0.136651768,-0.096537442,AMF
Mid,0.365467657,-0.233180969,AMF
Bottom,0.069856182,0.252789409,AMF
Bottom,-0.1074098,0.222024301,AMF
Bottom,0.09102642,0.540316392,AMF
Bottom,0.041313524,0.230684604,AMF
Bottom,0.147407581,0.107454759,AMF
Bottom,0.129873867,0.611817193,AMF
Top,-0.248193984,-0.164612935,Rhizobia
Top,-0.357762848,-0.055217021,Rhizobia
Top,-0.374294615,-0.057512464,Rhizobia
Top,-0.259842893,-0.125325335,Rhizobia
Top,-0.306584583,-0.127818647,Rhizobia
Top,-0.376422635,-0.018768,Rhizobia
Mid,0.052176375,0.455246265,Rhizobia
Mid,0.047215926,0.261106077,Rhizobia
Mid,-0.065459594,0.624650172,Rhizobia
Mid,0.21244017,0.223852436,Rhizobia
Mid,0.202024915,0.140862106,Rhizobia
Mid,0.037484721,0.234364949,Rhizobia
Bottom,0.302602985,-0.15624184,Rhizobia
Bottom,0.147046559,-0.281231353,Rhizobia
Bottom,0.22388977,-0.211658816,Rhizobia
Bottom,0.214449852,-0.28143086,Rhizobia
Bottom,0.261384758,-0.182908646,Rhizobia
Bottom,0.287845119,-0.277356087,Rhizobia
