Position,value,type
Top,2.15,aerobic_ammonia_oxidation
Top,1.89,aerobic_ammonia_oxidation
Top,2.14,aerobic_ammonia_oxidation
Top,1.9,aerobic_ammonia_oxidation
Top,2.32,aerobic_ammonia_oxidation
Top,0.03,aerobic_ammonia_oxidation
Middle,1.33,aerobic_ammonia_oxidation
Middle,1.82,aerobic_ammonia_oxidation
Middle,1.81,aerobic_ammonia_oxidation
Middle,0.71,aerobic_ammonia_oxidation
Middle,2.51,aerobic_ammonia_oxidation
Middle,2.85,aerobic_ammonia_oxidation
Bottom,1.8,aerobic_ammonia_oxidation
Bottom,2.6,aerobic_ammonia_oxidation
Bottom,2.15,aerobic_ammonia_oxidation
Bottom,1.88,aerobic_ammonia_oxidation
Bottom,1.44,aerobic_ammonia_oxidation
Bottom,1.95,aerobic_ammonia_oxidation
Top,0.54,aerobic_nitrite_oxidation
Top,0.35,aerobic_nitrite_oxidation
Top,0.51,aerobic_nitrite_oxidation
Top,0.58,aerobic_nitrite_oxidation
Top,0.53,aerobic_nitrite_oxidation
Top,0.03,aerobic_nitrite_oxidation
Middle,0.4,aerobic_nitrite_oxidation
Middle,0.62,aerobic_nitrite_oxidation
Middle,0.52,aerobic_nitrite_oxidation
Middle,0.27,aerobic_nitrite_oxidation
Middle,0.56,aerobic_nitrite_oxidation
Middle,0.67,aerobic_nitrite_oxidation
Bottom,0.58,aerobic_nitrite_oxidation
Bottom,0.7,aerobic_nitrite_oxidation
Bottom,0.61,aerobic_nitrite_oxidation
Bottom,0.63,aerobic_nitrite_oxidation
Bottom,0.29,aerobic_nitrite_oxidation
Bottom,0.48,aerobic_nitrite_oxidation
Top,0.73,chitinolysis
Top,0.68,chitinolysis
Top,1.58,chitinolysis
Top,1.62,chitinolysis
Top,2.05,chitinolysis
Top,0.27,chitinolysis
Middle,2.55,chitinolysis
Middle,3.02,chitinolysis
Middle,2.11,chitinolysis
Middle,1.67,chitinolysis
Middle,1.69,chitinolysis
Middle,1.68,chitinolysis
Bottom,2.75,chitinolysis
Bottom,1.57,chitinolysis
Bottom,1.86,chitinolysis
Bottom,3.42,chitinolysis
Bottom,2.73,chitinolysis
Bottom,0.93,chitinolysis
Top,5.03,dark_hydrogen_oxidation
Top,4.08,dark_hydrogen_oxidation
Top,4.81,dark_hydrogen_oxidation
Top,5.46,dark_hydrogen_oxidation
Top,4.27,dark_hydrogen_oxidation
Top,1.3,dark_hydrogen_oxidation
Middle,4.51,dark_hydrogen_oxidation
Middle,3.74,dark_hydrogen_oxidation
Middle,4.03,dark_hydrogen_oxidation
Middle,4.65,dark_hydrogen_oxidation
Middle,4.29,dark_hydrogen_oxidation
Middle,4.75,dark_hydrogen_oxidation
Bottom,3.77,dark_hydrogen_oxidation
Bottom,3.82,dark_hydrogen_oxidation
Bottom,5.05,dark_hydrogen_oxidation
Bottom,4.78,dark_hydrogen_oxidation
Bottom,4.93,dark_hydrogen_oxidation
Bottom,4.43,dark_hydrogen_oxidation
Top,4.07,nitrogen_fixation
Top,2.86,nitrogen_fixation
Top,3.33,nitrogen_fixation
Top,4.19,nitrogen_fixation
Top,3.39,nitrogen_fixation
Top,3.46,nitrogen_fixation
Middle,3.52,nitrogen_fixation
Middle,2.72,nitrogen_fixation
Middle,2.47,nitrogen_fixation
Middle,4.88,nitrogen_fixation
Middle,3.54,nitrogen_fixation
Middle,2.99,nitrogen_fixation
Bottom,3.31,nitrogen_fixation
Bottom,2.68,nitrogen_fixation
Bottom,3.59,nitrogen_fixation
Bottom,3.67,nitrogen_fixation
Bottom,5.03,nitrogen_fixation
Bottom,3.69,nitrogen_fixation
Top,0.27,dark_oxidation_of_sulfur_compounds
Top,0.1,dark_oxidation_of_sulfur_compounds
Top,0.19,dark_oxidation_of_sulfur_compounds
Top,0.16,dark_oxidation_of_sulfur_compounds
Top,0.12,dark_oxidation_of_sulfur_compounds
Top,0.37,dark_oxidation_of_sulfur_compounds
Middle,1.89,dark_oxidation_of_sulfur_compounds
Middle,0.2,dark_oxidation_of_sulfur_compounds
Middle,0.32,dark_oxidation_of_sulfur_compounds
Middle,0.11,dark_oxidation_of_sulfur_compounds
Middle,0.12,dark_oxidation_of_sulfur_compounds
Middle,0.11,dark_oxidation_of_sulfur_compounds
Bottom,0.06,dark_oxidation_of_sulfur_compounds
Bottom,0.09,dark_oxidation_of_sulfur_compounds
Bottom,0.2,dark_oxidation_of_sulfur_compounds
Bottom,0.14,dark_oxidation_of_sulfur_compounds
Bottom,0.15,dark_oxidation_of_sulfur_compounds
Bottom,0.26,dark_oxidation_of_sulfur_compounds
Top,35.89,aerobic_chemoheterotrophy
Top,33.9,aerobic_chemoheterotrophy
Top,34.68,aerobic_chemoheterotrophy
Top,34.16,aerobic_chemoheterotrophy
Top,37.3,aerobic_chemoheterotrophy
Top,48.28,aerobic_chemoheterotrophy
Middle,47.86,aerobic_chemoheterotrophy
Middle,37.14,aerobic_chemoheterotrophy
Middle,37.32,aerobic_chemoheterotrophy
Middle,33.35,aerobic_chemoheterotrophy
Middle,34.69,aerobic_chemoheterotrophy
Middle,42.79,aerobic_chemoheterotrophy
Bottom,33.83,aerobic_chemoheterotrophy
Bottom,38.64,aerobic_chemoheterotrophy
Bottom,38.69,aerobic_chemoheterotrophy
Bottom,39.15,aerobic_chemoheterotrophy
Bottom,37.16,aerobic_chemoheterotrophy
Bottom,39.81,aerobic_chemoheterotrophy
Top,0.06,aromatic_compound_degradation
Top,0.11,aromatic_compound_degradation
Top,0.11,aromatic_compound_degradation
Top,0.1,aromatic_compound_degradation
Top,0.08,aromatic_compound_degradation
Top,0.15,aromatic_compound_degradation
Middle,0.14,aromatic_compound_degradation
Middle,0.08,aromatic_compound_degradation
Middle,0.3,aromatic_compound_degradation
Middle,0.07,aromatic_compound_degradation
Middle,0.03,aromatic_compound_degradation
Middle,0.04,aromatic_compound_degradation
Bottom,0,aromatic_compound_degradation
Bottom,0,aromatic_compound_degradation
Bottom,0.06,aromatic_compound_degradation
Bottom,0.03,aromatic_compound_degradation
Bottom,0.02,aromatic_compound_degradation
Bottom,0.23,aromatic_compound_degradation
Top,0.25,nitrate_respiration
Top,0.23,nitrate_respiration
Top,0.22,nitrate_respiration
Top,0.29,nitrate_respiration
Top,0.28,nitrate_respiration
Top,0.13,nitrate_respiration
Middle,0.29,nitrate_respiration
Middle,0.32,nitrate_respiration
Middle,0.3,nitrate_respiration
Middle,0.2,nitrate_respiration
Middle,0.21,nitrate_respiration
Middle,0.29,nitrate_respiration
Bottom,0.36,nitrate_respiration
Bottom,0.35,nitrate_respiration
Bottom,0.28,nitrate_respiration
Bottom,0.25,nitrate_respiration
Bottom,0.25,nitrate_respiration
Bottom,0.34,nitrate_respiration
Top,2.53,nitrate_reduction
Top,2.15,nitrate_reduction
Top,2.45,nitrate_reduction
Top,2.8,nitrate_reduction
Top,2.65,nitrate_reduction
Top,1.16,nitrate_reduction
Middle,2.89,nitrate_reduction
Middle,3.26,nitrate_reduction
Middle,2.28,nitrate_reduction
Middle,1.88,nitrate_reduction
Middle,2.85,nitrate_reduction
Middle,3.8,nitrate_reduction
Bottom,2.95,nitrate_reduction
Bottom,3.73,nitrate_reduction
Bottom,3.27,nitrate_reduction
Bottom,2.55,nitrate_reduction
Bottom,2.81,nitrate_reduction
Bottom,3,nitrate_reduction
Top,0.87,photoheterotrophy
Top,0.51,photoheterotrophy
Top,0.54,photoheterotrophy
Top,0.95,photoheterotrophy
Top,0.31,photoheterotrophy
Top,0.11,photoheterotrophy
Middle,0,photoheterotrophy
Middle,0.11,photoheterotrophy
Middle,0.25,photoheterotrophy
Middle,0.49,photoheterotrophy
Middle,0.31,photoheterotrophy
Middle,0.2,photoheterotrophy
Bottom,0,photoheterotrophy
Bottom,0.59,photoheterotrophy
Bottom,0.19,photoheterotrophy
Bottom,0.65,photoheterotrophy
Bottom,0.37,photoheterotrophy
Bottom,0.31,photoheterotrophy
Top,1.59,ureolysis
Top,1.69,ureolysis
Top,1.7,ureolysis
Top,1.26,ureolysis
Top,1.26,ureolysis
Top,1.29,ureolysis
Middle,2.25,ureolysis
Middle,1.26,ureolysis
Middle,1.75,ureolysis
Middle,1.18,ureolysis
Middle,1.11,ureolysis
Middle,1.33,ureolysis
Bottom,0.88,ureolysis
Bottom,0.93,ureolysis
Bottom,1.74,ureolysis
Bottom,1.12,ureolysis
Bottom,1.88,ureolysis
Bottom,1.8,ureolysis
