study,type,root.ck (kg/ha),root.t,rrroot,varroot
4,non-legume,53000,54400,0.02607224,0.002007694
4,non-legume,53000,50700,-0.044366003,0.002007694
4,legume,53000,53900,0.016838564,0.002007694
4,non-legume,53000,50900,-0.04042899,0.002007694
4,non-legume,53000,54800,0.03339828,0.002007694
4,non-legume,53000,53100,0.001885015,0.002007694
4,non-legume,53000,50100,-0.056270905,0.002007694
4,non-legume,71700,66600,-0.07378617,0.002007694
4,non-legume,71700,67600,-0.058882765,0.002007694
4,legume,71700,72200,0.006949298,0.002007694
4,non-legume,71700,75400,0.050316527,0.002007694
4,non-legume,71700,77800,0.081650684,0.002007694
4,non-legume,71700,77300,0.075203208,0.002007694
4,non-legume,71700,71900,0.002785517,0.002007694
4,non-legume,52600,50900,-0.032853196,0.002007694
4,non-legume,52600,51600,-0.019194447,0.002007694
4,legume,52600,50200,-0.046701093,0.002007694
4,non-legume,52600,50400,-0.042724945,0.002007694
4,non-legume,52600,55500,0.053666901,0.002007694
4,non-legume,52600,51900,-0.01339733,0.002007694
4,non-legume,52600,54100,0.028118066,0.002007694
4,non-legume,50300,48200,-0.042646056,0.002007694
4,non-legume,50300,44600,-0.120271218,0.002007694
4,legume,50300,48300,-0.040573516,0.002007694
4,non-legume,50300,50300,0,0.002007694
4,non-legume,50300,57600,0.135517491,0.002007694
4,non-legume,50300,53500,0.061676577,0.002007694
4,non-legume,50300,49400,-0.018054653,0.002007694
4,non-legume,48000,48200,0.00415801,0.002007694
4,non-legume,48000,45700,-0.049102713,0.002007694
4,legume,48000,44100,-0.084741228,0.002007694
4,non-legume,48000,48900,0.018576386,0.002007694
4,non-legume,48000,55100,0.137948705,0.002007694
4,non-legume,48000,56200,0.157715746,0.002007694
4,non-legume,48000,47900,-0.002085506,0.002007694
4,non-legume,45000,47600,0.056170271,0.002007694
4,non-legume,45000,45500,0.011049836,0.002007694
4,legume,45000,45900,0.019802627,0.002007694
4,non-legume,45000,51000,0.125163143,0.002007694
4,non-legume,45000,58600,0.264072207,0.002007694
4,non-legume,45000,52100,0.146502459,0.002007694
4,non-legume,45000,47300,0.049847806,0.002007694
36,non-legume,17842.32365,12552.55255,-0.351649333,0.002007694
36,non-legume,17842.32365,15123.67491,-0.165311977,0.002007694
36,non-legume,17842.32365,16853.93258,-0.056989351,0.002007694
36,legume,17842.32365,13664.59627,-0.266765094,0.002007694
40,non-legume,650,750,0.143100844,0.002676925
40,non-legume,650,600,-0.080042708,0.002676925
40,non-legume,650,750,0.143100844,0.002676925
40,non-legume,650,600,-0.080042708,0.002676925
35,mixture,1247.058824,1600,0.249215791,0.002676925
35,mixture,1247.058824,1835.294118,0.386416913,0.002676925
35,mixture,1247.058824,2235.294118,0.583584978,0.002676925
35,mixture,1552.941176,1882.352941,0.192371893,0.002676925
35,mixture,1552.941176,2305.882353,0.395312737,0.002676925
35,mixture,1552.941176,3200,0.723000144,0.002676925
35,mixture,847.0588235,988.2352941,0.15415068,0.002676925
35,mixture,847.0588235,1247.058824,0.386772976,0.002676925
35,mixture,847.0588235,1600,0.635988767,0.002676925
35,mixture,1317.647059,1529.411765,0.149035579,0.002676925
35,mixture,1317.647059,1670.588235,0.237328186,0.002676925
35,mixture,1317.647059,2517.647059,0.647477144,0.002676925
35,mixture,2000,2300,0.139761942,0.002676925
35,mixture,2000,2300,0.139761942,0.002676925
35,mixture,2000,2200,0.09531018,0.002676925
35,mixture,2000,2200,0.09531018,0.002676925
35,mixture,2000,2400,0.182321557,0.002676925
35,mixture,2000,2300,0.139761942,0.002676925
35,mixture,2000,2200,0.09531018,0.002676925
35,mixture,2000,2200,0.09531018,0.002676925
72,legume,22020,24870,0.121711127,0.002007694
72,legume,24840,25140,0.012004946,0.002007694
113,legume,287.5,454.4,0.457755007,0.002676925
113,non-legume,287.5,388.5,0.30107031,0.002676925
132,non-legume,20.5,27,0.27541198,0.002813459
132,non-legume,20.5,30,0.380772496,0.002617985
132,legume,20.5,21,0.024097552,0.003485332
132,legume,20.5,24,0.157628944,0.003086735
132,non-legume,20.5,31,0.413562318,0.001871367
132,non-legume,19.5,24.5,0.228258652,0.002111218
132,non-legume,19.5,28.5,0.379489622,0.002895748
132,legume,19.5,17,-0.137201122,0.006585997
132,legume,19.5,16,-0.197825743,0.002297907
132,non-legume,19.5,29,0.396881364,0.003557801
132,non-legume,22,23.5,0.065957968,0.002153178
132,non-legume,22,29,0.276253377,0.003135001
132,legume,22,18,-0.200670695,0.002578393
132,legume,22,19,-0.146603474,0.001780427
132,non-legume,22,26.5,0.18610228,0.001668253
132,non-legume,19.5,20.5,0.050010421,0.000417449
132,non-legume,19.5,31.5,0.47957308,0.002318759
132,legume,19.5,10,-0.667829373,0.003552487
132,legume,19.5,13,-0.405465108,0.002191541
132,non-legume,19.5,28,0.361790045,0.000644324
35,mixture,1200,2200,0.606135804,0.002676925
35,mixture,1100,2000,0.597837001,0.002676925
35,mixture,1700,2400,0.344840486,0.005192314
35,mixture,1700,2300,0.302280872,0.007134089
35,mixture,1700,2200,0.257829109,0.007368431
35,mixture,1800,2400,0.287682072,0.003343621
35,mixture,1800,2200,0.200670695,0.003783628
35,mixture,1800,2300,0.245122458,0.003549285
213,legume,179.4271804,173.0538954,-0.036166365,0.002676925
213,non-legume,179.4271804,209.6175785,0.15551537,0.002676925
213,mixture,179.4271804,160.397276,-0.112115733,0.002676925
213,legume,86.10713099,131.9410643,0.42676311,0.002676925
213,non-legume,86.10713099,224.5281098,0.95840868,0.002676925
213,mixture,86.10713099,121.8498241,0.347197106,0.002676925
213,legume,446.4483827,379.6602907,-0.162046908,0.002676925
213,non-legume,446.4483827,442.6569119,-0.008528785,0.002676925
213,mixture,446.4483827,409.9503041,-0.085287847,0.002676925
213,legume,317.3234361,376.97937,0.172268908,0.002676925
213,non-legume,317.3234361,361.4680506,0.130252101,0.002676925
213,mixture,317.3234361,501.6510458,0.457983193,0.002676925
214,legume,75100,63200,-0.172516258,0.002007694
214,non-legume,75100,68500,-0.091986814,0.002007694
214,non-legume,75100,65900,-0.130682117,0.002007694
214,non-legume,75100,61700,-0.196536628,0.002007694
214,legume,75100,75500,0.005312097,0.002007694
214,non-legume,75100,74400,-0.009364617,0.002007694
214,non-legume,75100,70300,-0.06604876,0.002007694
214,non-legume,75100,73500,-0.021535153,0.002007694
215,non-legume,373,248,-0.408149673,0.002676925
215,legume,373,210,-0.574470889,0.002676925
215,mixture,373,315,-0.169005781,0.002676925
215,non-legume,423,108,-1.365240952,0.002676925
215,legume,423,511,0.188997411,0.002676925
215,mixture,423,289,-0.380945491,0.002676925
215,non-legume,182,453,0.911885438,0.002676925
215,legume,182,374,0.72024911,0.002676925
215,mixture,182,218,0.180488376,0.002676925
215,non-legume,455,548,0.185977868,0.002676925
215,legume,455,165,-1.014351945,0.002676925
215,mixture,455,538,0.167561141,0.002676925
215,non-legume,344,205,-0.517631678,0.002676925
215,legume,344,332,-0.035506688,0.002676925
215,mixture,344,405,0.16324541,0.002676925
215,non-legume,218,321,0.38694606,0.002676925
215,legume,218,228,0.044850566,0.002676925
215,mixture,218,461,0.74890298,0.002676925
215,non-legume,650,955,0.384738978,0.002676925
215,legume,650,689,0.058268908,0.002676925
215,mixture,650,410,-0.460815203,0.002676925
215,non-legume,824,570,-0.368534169,0.002676925
215,legume,824,802,-0.027061922,0.002676925
215,mixture,824,700,-0.163090195,0.002676925
215,non-legume,588,594,0.010152371,0.002676925
215,legume,588,504,-0.15415068,0.002676925
215,mixture,588,602,0.023530497,0.002676925
