ID,study,OF2,tillage2,irrigation2,cropland.type,rryield,varyield,rrSOC,varSOC,rrN2O,varN2O,rrCH4,varCH4,rrMWD,varMWD
1,1,No,Conservation,rainfed,upland,,,0.05487661,0.003273252,,,,,,
2,1,No,Conservation,rainfed,upland,,,0.020305266,0.003273252,,,,,,
3,1,No,Conservation,rainfed,upland,,,0.059719235,0.003273252,,,,,,
4,1,No,Conservation,rainfed,upland,,,-0.025975486,0.003273252,,,,,,
5,1,No,Conservation,rainfed,upland,,,-0.015504187,0.003273252,,,,,,
6,1,No,Conservation,rainfed,upland,,,0.015267472,0.003273252,,,,,,
7,1,No,Conservation,rainfed,upland,,,0.092976456,0.003273252,,,,,,
8,1,No,Conservation,rainfed,upland,,,,,,,,,-0.160550702,0.00824107
9,1,No,Conservation,rainfed,upland,,,,,,,,,0.206741833,0.00824107
10,1,No,Conservation,rainfed,upland,,,,,,,,,0.009523882,0.00824107
11,1,No,Conservation,rainfed,upland,,,,,,,,,0.150727191,0.00824107
12,1,No,Conservation,rainfed,upland,,,,,,,,,0.014252023,0.00824107
13,1,No,Conservation,rainfed,upland,,,,,,,,,-0.138327565,0.00824107
14,1,No,Conservation,rainfed,upland,,,,,,,,,-0.100587237,0.00824107
15,1,No,Conservation,rainfed,upland,,,,,,,,,0.326028277,0.00824107
16,1,No,Conservation,rainfed,upland,,,,,,,,,0.362114667,0.00824107
17,1,No,Conservation,rainfed,upland,,,,,,,,,0.176242511,0.00824107
18,1,No,Conservation,rainfed,upland,,,,,,,,,0.179286653,0.00824107
19,1,No,Conservation,rainfed,upland,,,,,,,,,0.344234242,0.00824107
20,1,No,Conservation,rainfed,upland,,,,,,,,,0.218039639,0.00824107
21,1,No,Conservation,rainfed,upland,,,,,,,,,0.294025546,0.00824107
22,2,No,Conventional,flooding,paddy,,,,,,,,,0.387765531,0.010988094
23,2,No,Conventional,flooding,paddy,,,,,,,,,0.322168249,0.010988094
24,2,No,Conventional,flooding,paddy,,,,,,,,,0.120627988,0.010988094
25,2,No,Conventional,flooding,paddy,,,,,,,,,0.09763847,0.010988094
26,3,No,Conservation,irrigated,upland,,,-0.002077475,0.004364336,,,,,,
27,3,No,Conservation,irrigated,upland,,,-0.072085318,0.004364336,,,,,,
28,3,No,Conservation,irrigated,upland,,,-0.084015629,0.004364336,,,,,,
29,3,No,Conservation,irrigated,upland,,,0.014023501,0.004364336,,,,,,
30,3,No,Conservation,irrigated,upland,,,-0.007621601,0.004364336,,,,,,
31,3,No,Conservation,irrigated,upland,,,-0.058254735,0.004364336,,,,,,
32,3,No,Conservation,irrigated,upland,,,0.087289735,0.004364336,,,,,,
33,4,No,Conventional,rainfed,upland,0.039857674,0.008592715,,,,,,,,
34,4,No,Conventional,rainfed,upland,0.016430541,0.008592715,,,,,,,,
35,4,No,Conventional,rainfed,upland,0.066982821,0.008592715,,,,,,,,
36,4,No,Conventional,rainfed,upland,-0.006042314,0.008592715,,,,,,,,
37,4,No,Conventional,rainfed,upland,0.062748516,0.008592715,,,,,,,,
38,4,No,Conventional,rainfed,upland,0.025280157,0.008592715,,,,,,,,
39,4,No,Conventional,rainfed,upland,-0.013646914,0.008592715,,,,,,,,
40,4,No,Conventional,rainfed,upland,-0.025582791,0.008592715,,,,,,,,
41,4,No,Conventional,rainfed,upland,0.001147447,0.008592715,,,,,,,,
42,4,No,Conventional,rainfed,upland,0.047093904,0.008592715,,,,,,,,
43,4,No,Conventional,rainfed,upland,0.116889666,0.008592715,,,,,,,,
44,4,No,Conventional,rainfed,upland,0.158895841,0.008592715,,,,,,,,
45,4,No,Conventional,rainfed,upland,0.107654095,0.008592715,,,,,,,,
