ID,study,texture,SOC_categorical,sand,clay,SOC,rryield,varyield,rrSOC,varSOC
1,1,loam,low,35.375,24.625,7.987470998,,,0.05487661,0.003273252
2,1,loam,low,35.375,24.625,7.987470998,,,0.020305266,0.003273252
3,1,loam,low,35.375,24.625,7.987470998,,,0.059719235,0.003273252
4,1,loam,low,35.375,24.625,7.987470998,,,-0.025975486,0.003273252
5,1,loam,low,35.375,24.625,7.987470998,,,-0.015504187,0.003273252
6,1,loam,low,35.375,24.625,7.987470998,,,0.015267472,0.003273252
7,1,loam,low,35.375,24.625,7.987470998,,,0.092976456,0.003273252
8,1,loam,low,35.75,24.25,7.178788348,,,,
9,1,loam,low,35.75,24.25,7.178788348,,,,
10,1,loam,low,35.75,24.25,7.178788348,,,,
11,1,loam,low,35.75,24.25,7.178788348,,,,
12,1,loam,low,35.75,24.25,7.178788348,,,,
13,1,loam,low,35.75,24.25,7.178788348,,,,
14,1,loam,low,35.75,24.25,7.178788348,,,,
15,1,loam,low,35.75,24.25,7.178788348,,,,
16,1,loam,low,35.75,24.25,7.178788348,,,,
17,1,loam,low,35.75,24.25,7.178788348,,,,
18,1,loam,low,35.75,24.25,7.178788348,,,,
19,1,loam,low,35.75,24.25,7.178788348,,,,
20,1,loam,low,35.75,24.25,7.178788348,,,,
21,1,loam,low,35.75,24.25,7.178788348,,,,
22,2,clay loam,low,52.5,26.5,6,,,,
23,2,clay loam,low,52.5,26.5,6,,,,
24,2,clay loam,low,52.5,26.5,6,,,,
25,2,clay loam,low,52.5,26.5,6,,,,
26,3,clay loam,low,43.7,34.8,8.41067285,,,-0.002077475,0.004364336
27,3,clay loam,low,43.7,34.8,8.41067285,,,-0.072085318,0.004364336
28,3,clay loam,low,43.7,34.8,8.41067285,,,-0.084015629,0.004364336
29,3,clay loam,low,43.7,34.8,8.41067285,,,0.014023501,0.004364336
30,3,clay loam,low,43.7,34.8,8.41067285,,,-0.007621601,0.004364336
31,3,clay loam,low,43.7,34.8,8.41067285,,,-0.058254735,0.004364336
32,3,clay loam,low,43.7,34.8,8.41067285,,,0.087289735,0.004364336
33,4,sandy,moderate,54,13.04166667,16.08315545,0.039857674,0.008592715,,
34,4,sandy,moderate,54,13.04166667,16.08315545,0.016430541,0.008592715,,
35,4,sandy,moderate,54,13.04166667,16.08315545,0.066982821,0.008592715,,
36,4,sandy,moderate,54,13.04166667,16.08315545,-0.006042314,0.008592715,,
37,4,sandy,moderate,54,13.04166667,16.08315545,0.062748516,0.008592715,,
38,4,sandy,moderate,54,13.04166667,16.08315545,0.025280157,0.008592715,,
39,4,sandy,moderate,54,13.04166667,16.08315545,-0.013646914,0.008592715,,
40,4,sandy,moderate,54,13.04166667,16.08315545,-0.025582791,0.008592715,,
41,4,sandy,moderate,54,13.04166667,16.08315545,0.001147447,0.008592715,,
42,4,sandy,moderate,54,13.04166667,16.08315545,0.047093904,0.008592715,,
43,4,sandy,moderate,54,13.04166667,16.08315545,0.116889666,0.008592715,,
44,4,sandy,moderate,54,13.04166667,16.08315545,0.158895841,0.008592715,,
45,4,sandy,moderate,54,13.04166667,16.08315545,0.107654095,0.008592715,,
46,4,sandy,moderate,54,13.04166667,16.08315545,0.021579486,0.008592715,,
47,4,sandy,moderate,54,13.04166667,16.08315545,0.003039516,0.008592715,,
48,4,sandy,moderate,54,13.04166667,16.08315545,0.016604155,0.008592715,,
49,4,sandy,moderate,54,13.04166667,16.08315545,0.019593694,0.008592715,,
50,4,sandy,moderate,54,13.04166667,16.08315545,-0.026215842,0.008592715,,
51,4,sandy,moderate,54,13.04166667,16.08315545,0.066249386,0.008592715,,
52,4,sandy,moderate,54,13.04166667,16.08315545,0.004555817,0.008592715,,
53,4,sandy,moderate,54,13.04166667,16.08315545,0.050455805,0.008592715,,
54,4,sandy,moderate,54,13.04166667,16.08315545,-0.025519726,0.008592715,,
55,4,sandy,moderate,54,13.04166667,16.08315545,-0.0684306,0.008592715,,
56,4,sandy,moderate,54,13.04166667,16.08315545,-0.022293917,0.008592715,,
57,4,sandy,moderate,54,13.04166667,16.08315545,0.03405902,0.008592715,,
58,4,sandy,moderate,54,13.04166667,16.08315545,0.14760512,0.008592715,,
59,4,sandy,moderate,54,13.04166667,16.08315545,0.044657151,0.008592715,,
60,4,sandy,moderate,54,13.04166667,16.08315545,0.009404458,0.008592715,,
61,4,sandy,moderate,54,13.04166667,16.08315545,0.01944956,0.008592715,,
62,4,sandy,moderate,54,13.04166667,16.08315545,0.001635323,0.008592715,,
63,4,sandy,moderate,54,13.04166667,16.08315545,-0.014839514,0.008592715,,
64,4,sandy,moderate,54,13.04166667,16.08315545,0.057249335,0.008592715,,
