"","V1"
"CH2.1",0.0195055500651225
"CH2.2",0.0193251122749631
"CH2.3",0.0202170109014564
"CH3.1",0.0193988856156207
"CH3.2",0.0201522107059091
"CH3.3",0.0309731798073268
"CH4.1",0.0203322785715505
"CH4.2",0.019472573915024
"CH4.3",0.0201907007267452
"CH5.1",0.0203952437059271
"CH5.2",0.0192936844083361
"CH5.3",0.0538952456031301
"CH6.1",0.0206571803255159
"CH6.2",0.0198186385063089
"CH6.3",0.0198775583918858
"CH7.1",0.0186647467238119
"CH7.2",0.0202595823119162
"CH7.3",0.0185170852475499
