"","V1"
"CH2.1",0.00863501697824404
"CH2.2",0.0149662798837898
"CH2.3",0.013130014942407
"CH3.1",0.010402640983472
"CH3.2",0.0138199756170908
"CH3.3",0.0331023078093618
"CH4.1",0.0183559103347956
"CH4.2",0.0117652152419411
"CH4.3",0.0128390838641822
"CH5.1",0.0221501076983414
"CH5.2",0.0101238940500217
"CH5.3",0.0102996334516753
"CH6.1",0.0118029734427823
"CH6.2",0.019825954146896
"CH6.3",0.00933106204426055
"CH7.1",0.109766681268941
"CH7.2",0.01213065170317
"CH7.3",0.00867515124287511
