"","V1"
"CH2.1",0.033498598978642
"CH2.2",0.0200261785305944
"CH2.3",0.0244922117956081
"CH3.1",0.0183546770236858
"CH3.2",0.02155002622054
"CH3.3",0.0369831703358475
"CH4.1",0.0215313249432523
"CH4.2",0.019740441422902
"CH4.3",0.0478663271693752
"CH5.1",0.0276660543866592
"CH5.2",0.0198027053918807
"CH5.3",0.0187111823041586
"CH6.1",0.0218183637097497
"CH6.2",0.027751382003274
"CH6.3",0.0171404842634059
"CH7.1",0.0287973920539889
"CH7.2",0.0200499825616859
"CH7.3",0.0162400479556237
