"","i","j","x"
"1",6,17,0.0464074918620628
"2",1,18,-0.191417159272529
"3",13,26,0.107397842165419
"4",17,27,0.0998979232861056
"5",6,32,0.0376998022096143
"6",2,33,0.0138438244177118
"7",13,39,0.00136813313823891
"8",26,41,0.187383153599736
"9",30,41,0.190764840639675
"10",11,42,0.0727244450235357
"11",28,45,-0.00921277552949706
"12",15,46,-0.0798896954325389
"13",32,46,0.0921506633926001
"14",40,47,0.0416374256771471
"15",39,48,0.110594821436903
"16",20,49,0.104366808148068
"17",26,49,0.179159662658969
"18",11,52,-0.00677537671093809
"19",4,54,0.0437919740423517
"20",35,54,0.0938858175754171
"21",21,57,0.00563014845492527
"22",18,59,0.263710094606463
"23",58,59,-0.0201399079109648
"24",18,64,0.0235303727617275
"25",23,64,-0.0583372219215827
"26",26,64,0.187627760091933
"27",28,64,-0.00490764340523009
"28",29,65,0.232728387520733
"29",24,66,0.254724667786509
"30",22,67,-0.089194045170867
"31",30,67,0.244461046955494
"32",40,70,0.345279830992916
"33",41,70,0.140492510533361
"34",47,70,0.165612341205189
"35",1,72,0.000457311303857511
"36",18,72,-0.145104829859025
"37",68,78,0.0696947146889216
"38",61,80,-0.12428020365791
"39",22,81,-0.0666917061489527
"40",29,81,0.321851947541074
"41",65,81,0.0412683787083757
"42",70,81,0.0612179326737597
"43",29,84,0.0226207157750542
"44",39,84,0.0855575565384783
"45",41,84,0.0241167830502348
"46",81,84,0.107240994692759
"47",83,84,0.212785222862868
"48",10,86,0.15857678683645
"49",62,86,0.251775182922626
"50",21,88,0.127264891653369
"51",45,88,0.129593282592541
"52",11,89,0.120118825513481
"53",28,90,0.0499381000004889
"54",10,91,-0.102547909845192
"55",36,91,0.0633208448578677
"56",68,92,0.0926668691306765
"57",81,92,0.00246113628570832
"58",91,92,-0.147523094615621
"59",27,93,-0.0366953905620234
"60",63,94,0.00381353852829192
"61",54,98,-0.107716776151971
"62",19,99,0.380410924737008
"63",47,100,0.00942620448176046
"64",54,101,-0.114615941678314
"65",20,103,0.262233676011798
"66",55,105,0.0778500488744717
"67",58,105,0.184128061956087
"68",68,106,-0.110034243141524
"69",76,106,0.232162076627471
"70",41,107,0.114519198360555
"71",101,107,0.0403955614591063
"72",18,108,-0.0270309429040921
"73",24,108,0.0808209952888786
"74",77,110,0.104606353183243
"75",93,110,0.0416336825942039
"76",5,111,-0.0461012295326406
"77",49,111,-0.110282084187144
"78",73,112,0.136830102596574
"79",59,114,0.0580802420154282
"80",28,115,0.0752237712562411
"81",53,115,0.217342814016619
"82",82,115,0.156899979478197
"83",39,116,0.0961940368179243
"84",86,116,0.0153830885571467
"85",19,117,-0.00913631959690475
"86",106,117,0.20483082599294
"87",82,119,0.0363364045254764
"88",115,119,0.160628582751676
"89",118,120,-0.215702266833608
"90",103,121,0.216557186203954
"91",1,122,0.0681629522800128
"92",61,124,0.0612178781679019
"93",18,125,-0.190226648259626
"94",58,126,0.0836366086628882
"95",21,127,0.0448368915240319
"96",117,128,0.118954216189717
"97",52,129,-0.0278730823674171
"98",74,129,0.0518919723886294
"99",14,130,0.0666861806909631
"100",37,130,-0.0231012512886185
"101",71,130,0.162115120650501
"102",32,132,0.017753044703625
"103",43,132,0.137150249508877
"104",48,133,0.0286111320815891
"105",64,133,0.0159219458931258
"106",101,133,0.00612962412393536
"107",114,133,0.27021257524041
"108",11,134,0.0388777997205277
"109",116,134,-0.0118423091422371
"110",22,135,0.00830857179851419
"111",123,135,0.0252785231693229
"112",33,136,0.189017150661124
"113",37,137,-0.0475776975985241
"114",53,138,0.135752930843829
"115",85,138,0.0297563614360716
"116",87,139,0.234948763501719
"117",41,140,-0.122350928967883
"118",47,141,0.0912625213646076
"119",38,142,0.000448092956019774
"120",59,142,-0.0485327127873746
"121",87,142,0.00725072605527299
"122",121,142,-0.000193214292605437
"123",77,144,0.0137834634935804
"124",82,144,0.298865345495067
"125",100,145,0.162671534423878
"126",102,145,0.091814461686228
"127",6,146,0.161287961727616
"128",9,146,0.00773702203886573
"129",33,147,0.000866557668045442
"130",94,147,0.00758891603276557
"131",72,148,0.257386659361899
"132",108,148,0.102373821078481
"133",111,148,0.183703859763525
"134",114,149,0.0639732356597711
"135",47,150,-0.00917203041328007
"136",59,152,-0.070828102483995
"137",124,152,-0.0750389132076684
"138",6,153,0.0655987548757541
"139",32,153,0.0233874533335475
"140",101,153,-0.0503008709793854
"141",126,154,0.0294201427343983
"142",129,154,0.0697029092408844
"143",38,155,0.0902185173488719
"144",44,155,0.014411887008653
"145",96,156,0.136245093053283
"146",31,157,0.119133421670799
"147",48,158,-0.0397505002213047
"148",107,158,-0.0425970655591431
"149",3,159,-0.00334989158016019
"150",131,159,0.227971911449284
"151",6,160,0.0764317596403259
"152",23,160,0.0712183823053377
"153",25,160,0.0292573200312043
"154",132,160,0.03291753570002
"155",140,160,0.0144370243871521
"156",91,161,0.100283066847467
"157",1,162,-0.0689537630803557
"158",18,162,0.140021518363732
"159",26,162,0.076661079051605
"160",41,162,0.0524146486502257
"161",68,162,0.0117934330541225
"162",101,162,0.290174366255986
"163",107,162,0.0420957970883394
"164",142,162,-0.0236303196806019
"165",54,163,-0.060867835542073
"166",98,163,0.0327304337732645
"167",26,165,-0.169559740909995
"168",128,165,0.0969398890568092
"169",145,165,-0.0126642990536887
"170",9,166,0.123047835538779
"171",123,166,-0.00369804614114366
"172",97,168,0.0501128551849722
"173",24,169,0.0942936171600891
"174",149,169,-0.0158731942006382
"175",43,170,0.000300856325916143
"176",18,171,0.225779388924827
"177",20,171,0.0972294674473295
"178",107,171,0.0472654278043749
"179",94,172,0.0191844844137492
"180",31,173,0.191810766400676
"181",139,173,0.0339719891367493
"182",20,174,0.368710221455607
"183",55,175,0.0636090488758525
"184",148,175,0.0923137835348335
"185",165,175,0.0852667307252167
"186",12,176,-0.0160219807760998
"187",140,176,0.0174664347133068
"188",164,176,0.0141187647943851
"189",169,177,-0.0560448524020958
"190",79,178,0.143490499233884
"191",48,179,-0.00289771148962281
"192",81,180,-0.111901101416635
"193",118,180,-0.0438829181782159
"194",157,181,0.0153008458422297
"195",4,182,0.036258564517885
"196",123,182,0.0454870521471972
"197",160,182,0.038097664504564
"198",164,182,0.19598542705279
"199",176,182,0.0450940078601269
