"","i","j","x"
"1",7,14,0.0083096360440772
"2",16,18,-0.114912327052123
"3",17,23,0.398470999720965
"4",14,25,0.162096774501746
"5",2,27,0.265981996332142
"6",30,32,0.0337746494478594
"7",5,33,-0.0203866933861536
"8",30,33,0.00492549006987142
"9",8,34,0.11974527186917
"10",24,35,0.0767303114720433
"11",14,38,-0.0626560131940985
"12",17,40,0.0601317834296835
"13",11,41,0.18057347321303
"14",37,42,-0.210645606603036
"15",4,43,0.00174898033399429
"16",15,46,0.0632749751168428
"17",28,46,-0.23760034240658
"18",13,47,0.0780525577620796
"19",16,48,0.066605488808404
"20",34,50,0.061910063663508
"21",7,51,0.0168687544553702
"22",43,52,0.338471433474409
"23",45,52,0.0801472258321954
"24",1,53,0.0801588561529287
"25",32,53,0.0594965003057402
"26",33,53,0.221285081906323
"27",45,53,-0.0784649363421208
"28",7,54,0.0480332597075955
"29",13,56,0.0202704829132179
"30",47,56,0.364809843939978
"31",10,57,-0.101329159404227
"32",13,57,0.014449173750592
"33",47,57,0.229512898367086
"34",48,57,-0.122087983768897
"35",56,57,0.253505241013629
"36",49,59,0.208338304948695
"37",5,61,0.0462754416387585
"38",52,61,0.00726874525455656
"39",16,62,-0.147506007519098
"40",18,62,0.216023383049502
"41",40,63,0.0989241429163662
"42",2,65,0.437730447624439
"43",8,65,0.100879086875482
"44",27,65,0.0197692772989979
"45",63,65,-0.349972304204014
"46",27,66,0.114558167620223
"47",51,67,-0.0245443693296175
"48",60,67,0.254347595755425
"49",11,68,0.00783763260658393
"50",59,69,0.21473537369735
"51",60,69,0.051323245843401
"52",23,70,0.213484244192166
"53",48,70,0.237279655166023
"54",6,71,-0.0326199806750811
"55",13,71,0.449471398280384
"56",56,71,0.207877165205697
"57",57,71,0.221782825629386
"58",68,72,0.0211182907901472
"59",2,73,0.155807373016828
"60",8,73,0.17146530072385
"61",34,73,0.17274111004003
"62",1,74,-0.130055587580086
"63",7,74,0.159687780989315
"64",25,74,0.256900826367468
"65",5,77,-0.0381682653859478
"66",62,77,0.113320335634964
"67",6,78,-0.260253907925503
"68",15,78,0.00690904024841932
"69",21,78,0.258897531234114
"70",14,80,0.236371843635952
"71",38,80,-0.0510178802430684
"72",74,80,0.107369954229221
"73",6,82,0.0376348767144801
"74",10,82,0.172944964781505
"75",48,82,0.0560097909771258
"76",59,83,0.178993632679671
"77",77,83,0.128976720685706
"78",8,84,0.0373791679603367
"79",11,84,0.0864642854066333
"80",53,85,-0.299824030618564
"81",78,85,-0.174490174914115
"82",19,86,0.212243522781403
"83",41,86,0.0590607431031633
"84",29,87,0.00893151432765077
"85",43,87,0.039375400276363
"86",43,88,0.132356314227837
"87",74,89,-0.0936377205527234
"88",77,89,0.127044367268467
"89",83,89,0.256809594024748
"90",6,90,-0.0801734313193964
"91",57,90,0.451093932952837
"92",43,91,0.0817006241619564
"93",21,92,0.298036820100558
"94",23,92,-0.0280013652885268
"95",30,92,0.0224808279205167
"96",57,93,-0.0428401967106109
"97",23,94,0.0495081791402158
"98",42,94,0.308458243416666
"99",16,95,-0.00155273603605827
"100",46,95,0.0093864682270024
"101",12,96,-0.00684370173629478
"102",13,96,0.076560421634543
"103",93,96,-0.169963405117036
"104",7,97,-0.311709071786005
"105",49,97,0.0695553027533099
"106",26,98,-0.101035582527322
"107",88,98,0.0502673598171773
"108",58,99,-0.214381133602186
"109",41,100,0.14046325824462
"110",60,101,0.0331613659772575
"111",97,101,0.543958021869234
"112",44,102,0.105706964785628
"113",16,103,-0.184363732998754
"114",48,103,-0.280007311317163
"115",50,103,0.326102534675304
"116",53,103,0.219549569101973
"117",95,103,0.0955595314919275
"118",84,105,0.00800841386857803
"119",4,106,0.229138604198337
"120",94,106,0.075303724895642
"121",46,107,-0.293495947951734
"122",63,107,-0.0569424988977695
"123",94,107,0.0166387384997683
"124",9,108,0.0665760369694041
"125",26,108,-0.0364773649389278
"126",9,109,-0.019704250555897
"127",108,109,-0.0496066845622289
"128",83,110,-0.0137479096478654
"129",68,111,0.106769637112487
"130",84,111,0.067731824802492
"131",5,112,-0.00604957806125139
"132",50,112,0.0395616468438627
"133",55,112,0.153490834037855
"134",95,112,0.0463519725163006
"135",110,112,-0.0949372194352224
"136",77,114,0.0457269412399719
"137",12,115,-0.169600807542198
"138",13,115,0.0162926284255405
"139",85,115,-0.108672657016657
"140",104,116,0.0686911301776362
"141",110,116,0.193980007865728
"142",35,117,0.202822562476745
"143",31,118,0.168649209587085
"144",44,118,0.0628689930117474
"145",80,118,0.257844404531432
"146",111,118,0.195345064038211
"147",118,120,0.0618991888120339
"148",1,121,-0.0400349217697277
"149",13,121,-0.060574047385797
"150",48,121,0.189839019436955
"151",75,121,0.039805704067404
"152",96,121,-0.0372131743224142
"153",100,121,0.022332792582523
"154",29,122,-0.151994679358103
"155",69,122,0.106903778009659
"156",14,123,0.108750837328656
"157",50,123,0.0824320595835349
"158",102,123,0.36207611746302
"159",118,123,0.0225058953615402
"160",7,124,0.0272023881992091
"161",88,124,0.234559290125796
"162",115,124,-0.0160886176167125
"163",54,125,-0.0241964088873922
