"","i","j","x"
"1",1,13,0.260718732004937
"2",15,18,0.0515643128912414
"3",2,19,0.191813400205661
"4",13,19,0.0442227130921953
"5",17,23,0.502306741736486
"6",7,24,0.0303673447248
"7",15,24,0.00231810327719609
"8",18,24,0.0459646067427491
"9",4,25,-0.0457940802447209
"10",7,25,0.00978896409927094
"11",3,26,0.116759025338053
"12",2,27,0.0501359721640425
"13",19,27,0.0584751105544127
"14",26,29,-0.0263053547739605
"15",24,31,0.326136616770702
"16",17,33,0.0670801764593257
"17",30,33,0.0766814494105094
"18",7,34,0.087600284134406
"19",8,34,0.158865073553673
"20",5,35,0.0166920341968061
"21",21,35,0.0619450644814831
"22",18,41,0.0686998712583462
"23",35,42,-0.154119539776915
"24",37,42,-0.237580936120322
"25",40,46,0.082910800127191
"26",13,48,-0.0455846518144719
"27",47,48,-0.0478258161630371
"28",11,50,0.0350196521652301
"29",34,50,0.092189558073895
"30",3,51,0.143255416987571
"31",12,51,0.076241091956928
"32",45,52,0.146326224966074
"33",46,52,-0.00606615070725103
"34",19,53,0.106531407649502
"35",33,53,0.025897256156032
"36",7,54,0.0968261708119761
"37",24,54,0.0749793508625261
"38",39,55,0.0180374644244616
"39",46,55,0.00824020839233883
"40",50,55,0.00601727825548837
"41",33,56,0.225416191592352
"42",47,57,0.0924450897481634
"43",7,58,0.228487223834676
"44",17,59,0.251932919990406
"45",37,59,0.00259663648247532
"46",49,59,0.199386537175894
"47",33,60,0.225941569607065
"48",53,60,0.0384335776120159
"49",7,61,-0.00607849042534361
"50",24,61,-0.00231499637296712
"51",52,61,0.048497251215331
"52",2,62,0.0329396312710382
"53",7,62,0.113292352075125
"54",11,62,0.0803617868250679
"55",18,62,0.0252432962462303
"56",32,62,0.0566964977102085
"57",43,62,-0.0347516490900415
"58",40,63,0.109586266564671
"59",42,63,-0.0397814745709491
"60",46,63,0.336890035713288
"61",28,64,0.423223387960663
"62",2,65,0.370521024280054
"63",8,65,0.149118354986206
"64",18,65,0.0908822023099105
"65",27,65,0.0702106288465009
"66",19,66,0.478223186560519
"67",33,67,0.36694920262846
"68",47,67,0.160248269064482
"69",53,67,0.157991810565506
"70",57,67,0.163233357312366
"71",34,68,0.155713488719835
"72",59,69,0.153879659333444
"73",23,70,0.207602502756578
"74",24,70,0.109097702279404
"75",35,70,0.0255908652707281
"76",54,70,0.112350472754662
"77",21,71,0.228474765044471
"78",48,71,-0.108300708876098
"79",43,72,-0.0103458250902319
"80",47,72,0.0450904047318469
"81",8,73,0.0674587250859543
"82",39,73,0.0761022258400604
"83",62,73,0.147865171527879
"84",1,74,-0.027721202026299
"85",32,75,0.285581088186958
"86",37,75,-0.00290320331363403
"87",42,75,0.007656219043922
"88",19,76,-0.0077225413747605
"89",42,76,-0.197486388119214
"90",48,76,0.154354087743825
"91",2,77,0.119558848399685
"92",27,77,0.210463063942551
"93",21,78,0.0629110948132119
"94",35,78,0.0798745734181074
"95",75,79,-0.0546401265192642
"96",77,79,0.242110351055471
"97",41,80,-0.233068103843267
"98",57,80,0.0092699759835633
"99",3,81,0.515717722925462
"100",10,81,0.0295981396694986
"101",76,81,0.0588459879401436
"102",55,82,-0.0419486295381931
"103",81,82,0.372035666346818
"104",17,83,0.135598122321942
"105",23,83,0.0700045743116827
"106",33,83,0.0266712231685254
"107",49,83,0.171235021746132
"108",59,83,0.0376054334256094
"109",77,83,0.139260123837576
"110",8,84,0.271325598543744
"111",12,84,0.00757282212396329
"112",41,86,0.237589918891346
"113",12,87,0.0752603319783371
"114",51,87,0.0316260542435558
"115",4,88,0.146071641707102
"116",29,88,0.128245656737563
"117",79,88,0.0730107413138869
"118",6,89,0.0154446833696273
"119",77,89,0.213071796785273
"120",83,89,0.105744099859449
"121",57,90,0.287928915904993
"122",21,92,0.0572033450786242
"123",32,92,0.120989244687419
"124",46,92,0.309471940714311
"125",71,92,0.217165573854651
"126",44,93,0.241242731846833
"127",48,93,0.0228344857267145
