"","i","j","x"
"1",1,3,0.0592362359849268
"2",3,13,0.0827908931537755
"3",13,15,0.0152092034994565
"4",13,19,0.0376715107668968
"5",10,20,0.121853735072043
"6",8,21,0.0587241932579563
"7",11,25,0.155759314046093
"8",25,28,0.0182994776270029
"9",8,38,-0.0804420241977376
"10",10,43,0.00917555249410384
"11",17,43,-0.0692034116002556
"12",9,44,0.0345660079846557
"13",32,44,0.199356331442736
"14",3,45,0.0415793427728329
"15",28,45,0.0307585388266974
"16",43,45,0.0271875104125556
"17",46,47,0.0235125563041521
"18",32,51,0.204397557364879
"19",25,52,0.0608431219971189
"20",32,52,0.0778686024094523
"21",23,55,0.00969506751976101
"22",24,55,-0.113372622476447
"23",25,55,0.0271209606798694
"24",32,55,0.0286399186644066
"25",39,55,0.00135103571377992
"26",2,56,0.135823903752518
"27",22,62,0.187979973628726
"28",37,64,0.0874325400483649
"29",7,65,-0.0611645646133102
"30",61,65,0.0286639975480043
"31",11,66,0.0052074972627657
"32",44,69,0.124865875151224
"33",52,70,0.0561741893876265
"34",20,72,0.0278404712245831
"35",25,77,0.104076822936215
"36",29,77,-0.0587330819355728
"37",64,80,0.0848306009382312
"38",24,83,0.0141025555692152
"39",7,92,-0.0567787204997265
"40",25,93,0.0112730523599821
"41",32,93,0.163646898007843
"42",51,94,0.018176353319886
"43",38,96,0.0134309421623853
"44",70,97,0.143733545303238
"45",74,98,0.00240233886627683
"46",79,98,0.12717208096274
"47",40,100,-0.0630722379990666
"48",90,100,-0.0758018451374854
"49",97,100,0.00981283794209897
"50",23,105,0.0550365961423025
"51",86,106,0.00497392109537065
"52",25,108,0.15551517985609
"53",39,108,0.00644885905730885
"54",77,108,0.0347089728000566
"55",63,111,0.162683195758237
"56",79,116,0.0957161155379186
"57",56,117,0.122073839160086
"58",52,120,-0.0725653623968299
"59",63,121,0.114407666159782
