"","ASV","lab"
"1","OTU_156","OTU_156"
"2","OTU_411","OTU_411"
"3","OTU_434","OTU_434"
"4","OTU_334","OTU_334"
"5","OTU_210","OTU_210"
"6","OTU_327","OTU_327"
"7","OTU_406","OTU_406"
"8","OTU_352","OTU_352"
"9","OTU_191","OTU_191"
"10","OTU_118","OTU_118"
"11","OTU_231","OTU_231"
"12","OTU_174","OTU_174"
"13","OTU_274","OTU_274"
"14","OTU_310","OTU_310"
"15","OTU_271","OTU_271"
"16","OTU_420","OTU_420"
"17","OTU_335","OTU_335"
"18","OTU_126","OTU_126"
"19","OTU_416","OTU_416"
"20","OTU_273","OTU_273"
"21","OTU_283","OTU_283"
"22","OTU_101","OTU_101"
"23","OTU_300","OTU_300"
"24","OTU_35","OTU_35"
"25","OTU_187","OTU_187"
"26","OTU_336","OTU_336"
"27","OTU_261","OTU_261"
"28","OTU_358","OTU_358"
"29","OTU_51","OTU_51"
"30","OTU_315","OTU_315"
"31","OTU_18","OTU_18"
"32","OTU_340","OTU_340"
"33","OTU_78","OTU_78"
"34","OTU_288","OTU_288"
"35","OTU_145","OTU_145"
"36","OTU_170","OTU_170"
"37","OTU_206","OTU_206"
"38","OTU_208","OTU_208"
"39","OTU_205","OTU_205"
"40","OTU_59","OTU_59"
"41","OTU_186","OTU_186"
"42","OTU_71","OTU_71"
"43","OTU_105","OTU_105"
"44","OTU_366","OTU_366"
"45","OTU_82","OTU_82"
"46","OTU_106","OTU_106"
"47","OTU_196","OTU_196"
"48","OTU_29","OTU_29"
"49","OTU_282","OTU_282"
"50","OTU_219","OTU_219"
"51","OTU_80","OTU_80"
"52","OTU_294","OTU_294"
"53","OTU_362","OTU_362"
"54","OTU_217","OTU_217"
"55","OTU_387","OTU_387"
"56","OTU_425","OTU_425"
"57","OTU_12","OTU_12"
"58","OTU_433","OTU_433"
"59","OTU_211","OTU_211"
"60","OTU_232","OTU_232"
"61","OTU_140","OTU_140"
"62","OTU_264","OTU_264"
"63","OTU_149","OTU_149"
"64","OTU_193","OTU_193"
"65","OTU_301","OTU_301"
"66","OTU_45","OTU_45"
"67","OTU_395","OTU_395"
"68","OTU_298","OTU_298"
"69","OTU_289","OTU_289"
"70","OTU_224","OTU_224"
"71","OTU_52","OTU_52"
"72","OTU_413","OTU_413"
"73","OTU_176","OTU_176"
"74","OTU_399","OTU_399"
"75","OTU_212","OTU_212"
"76","OTU_23","OTU_23"
"77","OTU_189","OTU_189"
"78","OTU_270","OTU_270"
"79","OTU_330","OTU_330"
"80","OTU_192","OTU_192"
"81","OTU_154","OTU_154"
"82","OTU_269","OTU_269"
"83","OTU_188","OTU_188"
"84","OTU_17","OTU_17"
"85","OTU_185","OTU_185"
"86","OTU_347","OTU_347"
"87","OTU_391","OTU_391"
"88","OTU_44","OTU_44"
"89","OTU_267","OTU_267"
"90","OTU_48","OTU_48"
"91","OTU_247","OTU_247"
"92","OTU_198","OTU_198"
"93","OTU_152","OTU_152"
"94","OTU_73","OTU_73"
"95","OTU_221","OTU_221"
"96","OTU_102","OTU_102"
"97","OTU_339","OTU_339"
"98","OTU_14","OTU_14"
"99","OTU_56","OTU_56"
"100","OTU_318","OTU_318"
"101","OTU_309","OTU_309"
"102","OTU_36","OTU_36"
"103","OTU_197","OTU_197"
"104","OTU_222","OTU_222"
"105","OTU_150","OTU_150"
"106","OTU_26","OTU_26"
"107","OTU_317","OTU_317"
"108","OTU_100","OTU_100"
"109","OTU_6","OTU_6"
"110","OTU_94","OTU_94"
"111","OTU_355","OTU_355"
"112","OTU_341","OTU_341"
"113","OTU_199","OTU_199"
"114","OTU_249","OTU_249"
"115","OTU_161","OTU_161"
"116","OTU_116","OTU_116"
"117","OTU_254","OTU_254"
"118","OTU_291","OTU_291"
"119","OTU_397","OTU_397"
"120","OTU_295","OTU_295"
"121","OTU_238","OTU_238"
"122","OTU_349","OTU_349"
"123","OTU_204","OTU_204"
"124","OTU_65","OTU_65"
"125","OTU_314","OTU_314"
"126","OTU_319","OTU_319"
"127","OTU_372","OTU_372"
"128","OTU_34","OTU_34"
"129","OTU_344","OTU_344"
"130","OTU_203","OTU_203"
"131","OTU_40","OTU_40"
"132","OTU_47","OTU_47"
"133","OTU_389","OTU_389"
"134","OTU_278","OTU_278"
"135","OTU_356","OTU_356"
"136","OTU_313","OTU_313"
"137","OTU_125","OTU_125"
"138","OTU_316","OTU_316"
"139","OTU_451","OTU_451"
"140","OTU_272","OTU_272"
"141","OTU_400","OTU_400"
"142","OTU_49","OTU_49"
"143","OTU_227","OTU_227"
"144","OTU_91","OTU_91"
"145","OTU_426","OTU_426"
"146","OTU_183","OTU_183"
"147","OTU_398","OTU_398"
"148","OTU_408","OTU_408"
"149","OTU_338","OTU_338"
"150","OTU_20","OTU_20"
"151","OTU_27","OTU_27"
"152","OTU_370","OTU_370"
"153","OTU_79","OTU_79"
"154","OTU_129","OTU_129"
"155","OTU_86","OTU_86"
"156","OTU_200","OTU_200"
"157","OTU_119","OTU_119"
"158","OTU_123","OTU_123"
"159","OTU_46","OTU_46"
"160","OTU_15","OTU_15"
"161","OTU_37","OTU_37"
"162","OTU_360","OTU_360"
"163","OTU_423","OTU_423"
"164","OTU_165","OTU_165"
"165","OTU_99","OTU_99"
"166","OTU_438","OTU_438"
"167","OTU_110","OTU_110"
"168","OTU_368","OTU_368"
"169","OTU_332","OTU_332"
"170","OTU_153","OTU_153"
"171","OTU_235","OTU_235"
"172","OTU_115","OTU_115"
"173","OTU_147","OTU_147"
"174","OTU_207","OTU_207"
"175","OTU_167","OTU_167"
"176","OTU_202","OTU_202"
"177","OTU_228","OTU_228"
"178","OTU_258","OTU_258"
"179","OTU_251","OTU_251"
"180","OTU_141","OTU_141"
"181","OTU_4","OTU_4"
"182","OTU_250","OTU_250"
"183","OTU_262","OTU_262"
"184","OTU_157","OTU_157"
"185","OTU_248","OTU_248"
"186","OTU_359","OTU_359"
"187","OTU_120","OTU_120"
"188","OTU_122","OTU_122"
"189","OTU_214","OTU_214"
"190","OTU_333","OTU_333"
"191","OTU_304","OTU_304"
"192","OTU_296","OTU_296"
