"","num.edges","num.pos.edges","num.neg.edges","num.vertices","connectance","average.degree","average.path.length","diameter","edge.connectivity","clustering.coefficient","no.clusters","centralization.degree","centralization.betweenness","centralization.closeness","density"
"CH2.1",1305,1305,0,360,0.0201949860724234,7.25,0.0724437141666354,0.447309462095163,2,0.077939529675252,1,0.016016713091922,0.0161867651182432,0.0823561283617705,0.0201949860724234
"CH2.2",1253,1253,0,354,0.0200540964453194,7.07909604519774,0.0749593183683702,0.459763429353197,2,0.0822500590876861,1,0.0167730990221027,0.0149009555203448,0.0836832004922933,0.0200540964453194
"CH2.3",1355,1355,0,368,0.0200657505034948,7.36413043478261,0.0732184003611237,0.817576198516291,1,0.0816283484496942,1,0.0153565928207558,0.0188830064111151,0.0845151680811605,0.0200657505034948
"CH3.1",1327,1327,0,367,0.0197584907907863,7.23160762942779,0.076544954904998,0.508863511270334,2,0.0832140891579527,1,0.0157606348922738,0.0129750366326171,0.0778075923880972,0.0197584907907863
"CH3.2",1257,1257,0,357,0.0197809460862997,7.04201680672269,0.0787932869875393,0.458259428719556,2,0.0830337886412653,1,0.0167359078462846,0.0193170082646301,0.0824990999948794,0.0197809460862997
"CH3.3",360,360,0,163,0.027266530334015,4.41717791411043,0.13584708982482,0.596126425694642,0,0.0729237002025658,2,0.0282890252215406,0.0460671338234397,NA,0.027266530334015
"CH4.1",1134,1134,0,333,0.0205144903940085,6.81081081081081,0.0816395991518404,0.498717683214692,2,0.0885259401592094,1,0.0186421361120156,0.0180865063816697,0.0786642705453804,0.0205144903940085
"CH4.2",1234,1234,0,350,0.0202046663937781,7.05142857142857,0.0775992610724548,0.654422792155491,2,0.081637656288306,1,0.0170446172738436,0.0181846749924118,0.0818019718160662,0.0202046663937781
"CH4.3",1172,1172,0,340,0.0203366302273122,6.89411764705882,0.0799228305643328,0.471029685811131,2,0.0867801047120419,1,0.018011452368558,0.0178016807985318,0.0833669673705043,0.0203366302273122
"CH5.1",1117,1117,0,330,0.0205765865340333,6.76969696969697,0.0837637719789,0.553830766629154,2,0.0821463144793251,1,0.0189370912775168,0.0211215461149948,0.0931254793110393,0.0205765865340333
"CH5.2",1274,1274,0,359,0.0198253995424908,7.0974930362117,0.0803565950917008,0.817576198516291,1,0.0797237180988059,1,0.0164874496195204,0.014573679480195,0.0825923117259171,0.0198253995424908
"CH5.3",1174,1174,0,341,0.0202518544074521,6.88563049853372,0.0755081478269407,0.370629751558577,1,0.0822776544338514,1,0.0209246161807832,0.0212439869312477,0.0813105450349017,0.0202518544074521
"CH6.1",1271,1271,0,356,0.020113942079443,7.14044943820225,0.0751516047406637,0.45566116415546,2,0.0823886876241673,1,0.0165057762304162,0.0133973090920881,0.0863247914740102,0.020113942079443
"CH6.2",1200,1200,0,344,0.0203403620584446,6.97674418604651,0.0744363336466532,0.446770136979096,2,0.0832484725050917,1,0.0175605125771239,0.0167845138089281,0.0790887041532206,0.0203403620584446
"CH6.3",1259,1259,0,355,0.0200366038036126,7.09295774647887,0.0767619281249095,0.45384953202174,2,0.0850332068311195,1,0.0166865600381953,0.0125836825270701,0.0751024441065025,0.0200366038036126
"CH7.1",1184,1184,0,345,0.0199528142905292,6.86376811594203,0.0812856955787716,0.6383743148213,1,0.0817863170193431,1,0.0207448601280755,0.0202128369270979,0.0982283647066756,0.0199528142905292
"CH7.2",1305,1305,0,362,0.0199721461257097,7.20994475138122,0.0748559196732773,0.452982522468325,2,0.0838363514419852,1,0.0160389342067002,0.0123793736911183,0.0837988108600277,0.0199721461257097
"CH7.3",1184,1184,0,341,0.020424357426255,6.94428152492669,0.0799866762096583,0.458259428719556,2,0.0854952076677316,1,0.0178109366913921,0.0202632033613635,0.0854972211075021,0.020424357426255
