"","num.edges","num.pos.edges","num.neg.edges","num.vertices","connectance","average.degree","average.path.length","diameter","edge.connectivity","clustering.coefficient","no.clusters","centralization.degree","centralization.betweenness","centralization.closeness","density"
"CH2.1",2117,1707,410,450,0.0209552091066568,9.40888888888889,0.0551342891663986,0.881745176,0,0.0811049074346165,4,0.0169067062608265,0.0125688600305968,NA,0.0209552091066568
"CH2.2",2233,1825,408,479,0.0195054201133813,9.32359081419624,0.0585128086113002,0.794399376,0,0.083353021783301,2,0.0181514836523091,0.0161784214941221,NA,0.0195054201133813
"CH2.3",2346,1913,433,486,0.0199058164693904,9.65432098765432,0.0533774889776822,0.914294912,0,0.0824441444187971,3,0.0172075855924653,0.00887393689111619,NA,0.0199058164693904
"CH3.1",2337,1887,450,479,0.020413867803391,9.75782881002088,0.0512354083838132,0.99152703,0,0.0806256481161424,2,0.0172430359622994,0.0102317234586904,1.3471373743053,0.020413867803391
"CH3.2",2269,1856,413,474,0.0202406758191274,9.57383966244726,0.0517802199036183,0.761618582,0,0.0807921328040419,2,0.017814292468399,0.0116430172636437,1.3506974260104,0.0202406758191274
"CH3.3",473,357,116,222,0.0192817251640781,4.26126126126126,0.15262703747523,1.16176145,0,0.11219262295082,3,0.0259671436142024,0.0638307410254494,NA,0.0192817251640781
"CH4.1",2071,1703,368,456,0.01996336996337,9.08333333333333,0.0594911483910777,0.810590156,0,0.0851700251889169,2,0.0173992673992674,0.0105249161098709,1.36394450966954,0.01996336996337
"CH4.2",2078,1694,384,449,0.0206609926821508,9.25612472160356,0.0525525221180295,0.5790053059,0,0.0782023159720451,2,0.0195175787464206,0.0158944621608041,NA,0.0206609926821508
"CH4.3",1846,1513,333,420,0.0209796567791795,8.79047619047619,0.0582062820687362,0.5750554299,1,0.0825520516254718,1,0.0172065007387203,0.0132304455086309,0.0986132439322921,0.0209796567791795
"CH5.1",1937,1575,362,445,0.0196072476971353,8.70561797752809,0.0601743243582001,1.04573923,1,0.0858286908077994,1,0.0231855450956575,0.0175031324143694,0.104172669584644,0.0196072476971353
"CH5.2",2251,1839,412,465,0.0208657767890248,9.68172043010753,0.0482744676116048,0.531972155000001,0,0.0804597701149425,2,0.017927326659251,0.0110400019540073,NA,0.0208657767890248
"CH5.3",1931,1586,345,432,0.020742029732749,8.93981481481481,0.0652117536282818,0.9652685559,0,0.0797314072903735,3,0.0187011257196872,0.0185116952046631,NA,0.020742029732749
"CH6.1",2135,1748,387,453,0.0208540897458438,9.42604856512141,0.0489778230986843,0.655013582,0,0.0811129103488886,3,0.0167565297231827,0.0127444906029981,NA,0.0208540897458438
"CH6.2",2026,1687,339,445,0.0205081485980362,9.10561797752809,0.0574585252756379,1.117590341,1,0.079675572519084,1,0.0177801396902521,0.01443351956064,0.0793272855871624,0.0205081485980362
"CH6.3",2149,1755,394,458,0.0205345283938349,9.38427947598253,0.0521391008874695,0.649009256,0,0.0820650844139956,2,0.018852780140082,0.00830697091672768,NA,0.0205345283938349
"CH7.1",2009,1676,333,436,0.0211852789201729,9.21559633027523,0.0518855147263412,0.810590156,0,0.081627240903787,2,0.017895180849942,0.010128755898577,NA,0.0211852789201729
"CH7.2",2223,1816,407,474,0.0198303315759895,9.37974683544304,0.0555912943896881,0.5704336,1,0.0815893665158371,1,0.0182246367115369,0.0133545063961324,0.0922649866796376,0.0198303315759895
"CH7.3",1885,1568,317,416,0.0218373493975904,9.0625,0.0518264577403854,0.732404294,1,0.0819979543129901,1,0.0239457831325301,0.0146954396207877,0.0996001074645328,0.0218373493975904
