"","num.edges","num.pos.edges","num.neg.edges","num.vertices","connectance","average.degree","average.path.length","diameter","edge.connectivity","clustering.coefficient","no.clusters","centralization.degree","centralization.betweenness","centralization.closeness","density"
"CH2.1",94,94,0,112,0.0151222651222651,1.67857142857143,0.341293214619047,0.956990160510761,0,0.0670391061452514,30,0.0479407979407979,0.186699721834857,NA,0.0151222651222651
"CH2.2",81,81,0,105,0.0148351648351648,1.54285714285714,0.366454269909614,0.990619746560492,0,0.0839160839160839,33,0.0524725274725275,0.105576689693801,NA,0.0148351648351648
"CH2.3",85,85,0,106,0.0152740341419587,1.60377358490566,0.391695608902786,1.16435017138557,0,0.0769230769230769,31,0.051392632524708,0.134915402058259,NA,0.0152740341419587
"CH3.1",94,94,0,108,0.0162686050536518,1.74074074074074,0.326417867770502,0.891703855605533,0,0.0659340659340659,27,0.0491519556940118,0.179547690578563,NA,0.0162686050536518
"CH3.2",85,85,0,108,0.0147109726548979,1.57407407407407,0.355057495942956,1.02102741851425,0,0.0754716981132075,33,0.0507095880927657,0.152599633814933,NA,0.0147109726548979
"CH3.3",27,27,0,62,0.0142781597038604,0.870967741935484,0.134997122951842,0.351506795919113,0,0.142857142857143,36,0.0512956107879429,0.00451491534533727,NA,0.0142781597038604
"CH4.1",95,95,0,108,0.01644167532018,1.75925925925926,0.324791982067983,0.891703855605533,0,0.0634920634920635,26,0.0489788854274836,0.195177299821851,NA,0.01644167532018
"CH4.2",89,89,0,106,0.0159928122192273,1.67924528301887,0.335537345485091,0.956990160510761,0,0.0685714285714286,29,0.0506738544474394,0.217652189080761,NA,0.0159928122192273
"CH4.3",81,81,0,99,0.0166975881261596,1.63636363636364,0.33619705423261,1.04339117808203,0,0.0789473684210526,28,0.0547309833024119,0.142773414857212,NA,0.0166975881261596
"CH5.1",79,79,0,95,0.0176931690929451,1.66315789473684,0.28936688258068,0.896019942384102,0,0.0584415584415584,26,0.0567749160134378,0.207133654924219,NA,0.0176931690929451
"CH5.2",85,85,0,101,0.0168316831683168,1.68316831683168,0.321235522290857,0.891703855605533,0,0.0727272727272727,27,0.0531683168316832,0.179711111111111,NA,0.0168316831683168
"CH5.3",89,89,0,104,0.0166168782673637,1.71153846153846,0.336603576517828,0.956990160510761,0,0.0689655172413793,26,0.05134428678118,0.213180078327872,NA,0.0166168782673637
"CH6.1",84,84,0,99,0.0173160173160173,1.6969696969697,0.369414539786916,1.10031291338208,0,0.0769230769230769,25,0.0541125541125541,0.157342086845258,NA,0.0173160173160173
"CH6.2",78,78,0,98,0.0164106879865348,1.59183673469388,0.368942057676942,1.10031291338208,0,0.0608108108108108,29,0.0557542604670734,0.186986307436143,NA,0.0164106879865348
"CH6.3",85,85,0,102,0.0165016501650165,1.66666666666667,0.376700469988447,1.10031291338208,0,0.0740740740740741,27,0.0528052805280528,0.16583472208607,NA,0.0165016501650165
"CH7.1",86,86,0,101,0.017029702970297,1.7029702970297,0.329247085942223,0.891703855605533,0,0.0523255813953488,26,0.052970297029703,0.210230134680135,NA,0.017029702970297
"CH7.2",86,86,0,103,0.0163715971825623,1.66990291262136,0.334923968563521,0.891703855605533,0,0.0538922155688623,27,0.0522558537978298,0.181015838031323,NA,0.0163715971825623
"CH7.3",89,89,0,107,0.015693881149709,1.66355140186916,0.365334573772806,1.10031291338208,0,0.0520231213872832,28,0.0503438546993476,0.16978447959224,NA,0.015693881149709
