"","num.edges","num.pos.edges","num.neg.edges","num.vertices","connectance","average.degree","average.path.length","diameter","edge.connectivity","clustering.coefficient","no.clusters","centralization.degree","centralization.betweenness","centralization.closeness","density"
"CH2.1",445,392,53,202,0.021920102458007,4.40594059405941,0.271549730795577,3.199067673,0,0.121108949416342,3,0.032806265701197,0.0832976048819264,NA,0.021920102458007
"CH2.2",514,460,54,230,0.0195177520410101,4.4695652173913,0.204181152596879,1.991696853,0,0.123110151187905,5,0.0285171824568065,0.0575097260863557,NA,0.0195177520410101
"CH2.3",535,471,64,224,0.0214205637411915,4.77678571428571,0.145338645857242,1.023209264,0,0.119526627218935,3,0.0279067905188981,0.0372845978533466,NA,0.0214205637411915
"CH3.1",521,455,66,220,0.0216272312162723,4.73636363636364,0.157650704482687,1.393619582,0,0.121044303797468,5,0.0286010792860108,0.0423501583155294,NA,0.0216272312162723
"CH3.2",494,442,52,225,0.0196031746031746,4.39111111111111,0.1825190115986,1.884202078,0,0.11358574610245,7,0.0295039682539683,0.0490752299085323,NA,0.0196031746031746
"CH3.3",170,138,32,121,0.0234159779614325,2.8099173553719,0.298277065826783,1.376087793,0,0.110655737704918,12,0.0349173553719008,0.0850996141512161,NA,0.0234159779614325
"CH4.1",557,496,61,231,0.0209674383587427,4.82251082251082,0.177117218954647,1.613048872,0,0.115825688073394,3,0.0225108225108225,0.0412299832495198,NA,0.0209674383587427
"CH4.2",465,410,55,205,0.0222381635581062,4.53658536585366,0.161508393814246,1.090429576,0,0.101201478743068,4,0.0316834050693448,0.0605200498671512,NA,0.0222381635581062
"CH4.3",371,318,53,179,0.0232879291946519,4.14525139664805,0.241731966165845,2.438972849,0,0.119842829076621,4,0.0385098236143368,0.0646451214592142,NA,0.0232879291946519
"CH5.1",437,386,51,210,0.0199134199134199,4.16190476190476,0.221903741396601,1.937933991,0,0.0829103214890017,3,0.0231487810435179,0.0619269419225376,NA,0.0199134199134199
"CH5.2",458,404,54,207,0.0214811688007129,4.42512077294686,0.177476148816142,1.7009673,0,0.106118546845124,7,0.0319168894517143,0.0450923144126568,NA,0.0214811688007129
"CH5.3",414,366,48,195,0.0218873909595559,4.24615384615385,0.230782240950133,2.615101689,0,0.120528343423225,9,0.0296590007930214,0.0479464660865519,NA,0.0218873909595559
"CH6.1",434,383,51,196,0.0227106227106227,4.42857142857143,0.16459599433274,1.097736389,0,0.113648157758173,4,0.0285714285714286,0.0535023425143506,NA,0.0227106227106227
"CH6.2",433,386,47,199,0.0219785797675245,4.35175879396985,0.193678192148401,1.709172877,0,0.120123203285421,5,0.0335769757880311,0.0604359157969781,NA,0.0219785797675245
"CH6.3",455,413,42,205,0.0217599234815878,4.4390243902439,0.162005109018894,1.021262639,0,0.114285714285714,5,0.0272596843615495,0.0460296950108217,NA,0.0217599234815878
"CH7.1",431,374,57,192,0.0235056719022688,4.48958333333333,0.141887158386618,1.078548766,0,0.118962887646162,6,0.0288503490401396,0.0536692414490099,NA,0.0235056719022688
"CH7.2",476,419,57,215,0.0206911540969354,4.42790697674419,0.217539697504672,1.601919882,0,0.106001936108422,2,0.0260378178656814,0.047956088072244,NA,0.0206911540969354
"CH7.3",387,338,49,182,0.0234958411753992,4.25274725274725,0.153013602518881,1.277776596,0,0.106824925816024,9,0.0317527776091312,0.0536658317353195,NA,0.0234958411753992
