,node1,node2,weight2,weight,i,j,weight2
1,rpoB_OTU_2,rpoB_OTU_6,0.008973497,0.008973497,r,r,-0.008973497
2,rpoB_OTU_2,rpoB_OTU_96,0.018351998,0.018351998,r,r,-0.018351998
3,rpoB_OTU_2,rpoB_OTU_166,-0.090857496,0.090857496,r,r,-0.090857496
4,rpoB_OTU_2,rpoB_OTU_203,0.345877601,0.345877601,r,r,-0.345877601
5,rpoB_OTU_2,rpoB_OTU_331,-0.003586222,0.003586222,r,r,-0.003586222
6,rpoB_OTU_2,AMF_OTU_152,-0.056835234,0.056835234,r,A,-0.056835234
7,rpoB_OTU_3,rpoB_OTU_261,0.01489296,0.01489296,r,r,-0.01489296
8,rpoB_OTU_3,rpoB_OTU_314,0.086233478,0.086233478,r,r,-0.086233478
9,rpoB_OTU_3,AMF_OTU_103,-0.050696349,0.050696349,r,A,-0.050696349
10,rpoB_OTU_3,AMF_OTU_201,0.007156806,0.007156806,r,A,-0.007156806
11,rpoB_OTU_3,AMF_OTU_203,-0.042014553,0.042014553,r,A,-0.042014553
12,rpoB_OTU_3,AMF_OTU_22,-0.079852833,0.079852833,r,A,-0.079852833
13,rpoB_OTU_6,rpoB_OTU_29,0.063383701,0.063383701,r,r,-0.063383701
14,rpoB_OTU_6,rpoB_OTU_138,0.173099449,0.173099449,r,r,-0.173099449
15,rpoB_OTU_6,rpoB_OTU_149,-0.020770385,0.020770385,r,r,-0.020770385
16,rpoB_OTU_6,rpoB_OTU_187,0.235000016,0.235000016,r,r,-0.235000016
17,rpoB_OTU_6,rpoB_OTU_203,0.018577784,0.018577784,r,r,-0.018577784
18,rpoB_OTU_6,rpoB_OTU_331,-0.050993351,0.050993351,r,r,-0.050993351
19,rpoB_OTU_6,AMF_OTU_63,0.12174334,0.12174334,r,A,-0.12174334
20,rpoB_OTU_10,rpoB_OTU_188,0.01564205,0.01564205,r,r,-0.01564205
21,rpoB_OTU_10,rpoB_OTU_260,0.032814955,0.032814955,r,r,-0.032814955
22,rpoB_OTU_10,rpoB_OTU_296,0.093033658,0.093033658,r,r,-0.093033658
23,rpoB_OTU_10,rpoB_OTU_370,-0.000608699,0.000608699,r,r,-0.000608699
24,rpoB_OTU_10,AMF_OTU_3,0.072164847,0.072164847,r,A,-0.072164847
25,rpoB_OTU_10,AMF_OTU_71,0.036590806,0.036590806,r,A,-0.036590806
26,rpoB_OTU_10,AMF_OTU_90,0.026360098,0.026360098,r,A,-0.026360098
27,rpoB_OTU_10,AMF_OTU_97,0.107202838,0.107202838,r,A,-0.107202838
28,rpoB_OTU_11,rpoB_OTU_70,0.006420137,0.006420137,r,r,-0.006420137
29,rpoB_OTU_11,rpoB_OTU_108,0.262764309,0.262764309,r,r,-0.262764309
30,rpoB_OTU_11,rpoB_OTU_241,0.031796349,0.031796349,r,r,-0.031796349
31,rpoB_OTU_11,rpoB_OTU_286,0.025303554,0.025303554,r,r,-0.025303554
32,rpoB_OTU_11,AMF_OTU_101,0.019268265,0.019268265,r,A,-0.019268265
33,rpoB_OTU_11,AMF_OTU_103,-0.004692292,0.004692292,r,A,-0.004692292
34,rpoB_OTU_11,AMF_OTU_107,0.023614013,0.023614013,r,A,-0.023614013
35,rpoB_OTU_11,AMF_OTU_137,0.091431069,0.091431069,r,A,-0.091431069
36,rpoB_OTU_13,rpoB_OTU_21,0.201648275,0.201648275,r,r,-0.201648275
37,rpoB_OTU_13,rpoB_OTU_38,0.093190164,0.093190164,r,r,-0.093190164
38,rpoB_OTU_13,rpoB_OTU_173,0.001780876,0.001780876,r,r,-0.001780876
39,rpoB_OTU_13,AMF_OTU_17,0.306942779,0.306942779,r,A,-0.306942779
40,rpoB_OTU_13,AMF_OTU_6,0.20464848,0.20464848,r,A,-0.20464848
41,rpoB_OTU_13,AMF_OTU_83,0.113449029,0.113449029,r,A,-0.113449029
42,rpoB_OTU_14,rpoB_OTU_131,0.241229126,0.241229126,r,r,-0.241229126
43,rpoB_OTU_14,AMF_OTU_22,0.053877893,0.053877893,r,A,-0.053877893
44,rpoB_OTU_14,AMF_OTU_23,0.209891312,0.209891312,r,A,-0.209891312
45,rpoB_OTU_14,AMF_OTU_66,0.488338284,0.488338284,r,A,-0.488338284
46,rpoB_OTU_15,rpoB_OTU_23,-0.018632192,0.018632192,r,r,-0.018632192
47,rpoB_OTU_15,rpoB_OTU_120,-0.152057394,0.152057394,r,r,-0.152057394
48,rpoB_OTU_15,rpoB_OTU_160,-0.050603574,0.050603574,r,r,-0.050603574
49,rpoB_OTU_15,rpoB_OTU_245,0.04466863,0.04466863,r,r,-0.04466863
50,rpoB_OTU_15,AMF_OTU_206,0.017255476,0.017255476,r,A,-0.017255476
51,rpoB_OTU_15,AMF_OTU_90,0.077796853,0.077796853,r,A,-0.077796853
52,rpoB_OTU_15,AMF_OTU_98,0.006762296,0.006762296,r,A,-0.006762296
53,rpoB_OTU_19,rpoB_OTU_43,0.009294052,0.009294052,r,r,-0.009294052
54,rpoB_OTU_19,rpoB_OTU_49,0.131993252,0.131993252,r,r,-0.131993252
55,rpoB_OTU_19,rpoB_OTU_71,0.028370626,0.028370626,r,r,-0.028370626
56,rpoB_OTU_19,rpoB_OTU_102,0.187535522,0.187535522,r,r,-0.187535522
57,rpoB_OTU_19,rpoB_OTU_137,0.293552997,0.293552997,r,r,-0.293552997
58,rpoB_OTU_19,rpoB_OTU_165,0.149910302,0.149910302,r,r,-0.149910302
59,rpoB_OTU_19,rpoB_OTU_175,0.061380883,0.061380883,r,r,-0.061380883
60,rpoB_OTU_19,rpoB_OTU_279,0.008296763,0.008296763,r,r,-0.008296763
61,rpoB_OTU_20,rpoB_OTU_50,0.431662347,0.431662347,r,r,-0.431662347
62,rpoB_OTU_20,rpoB_OTU_138,0.028711432,0.028711432,r,r,-0.028711432
63,rpoB_OTU_20,rpoB_OTU_174,-0.078731753,0.078731753,r,r,-0.078731753
64,rpoB_OTU_20,rpoB_OTU_213,0.066598781,0.066598781,r,r,-0.066598781
65,rpoB_OTU_20,rpoB_OTU_261,-0.003817683,0.003817683,r,r,-0.003817683
66,rpoB_OTU_20,rpoB_OTU_298,0.007141378,0.007141378,r,r,-0.007141378
67,rpoB_OTU_20,rpoB_OTU_310,0.004307268,0.004307268,r,r,-0.004307268
68,rpoB_OTU_20,rpoB_OTU_313,-0.020569449,0.020569449,r,r,-0.020569449
69,rpoB_OTU_20,rpoB_OTU_331,-0.117073093,0.117073093,r,r,-0.117073093
