"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"rpoB_OTU_2","rpoB_OTU_2",6,681,8.99190220591901,"M16",0.559016994374947,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium etli"
"rpoB_OTU_3","rpoB_OTU_3",6,1236,0.312940714233395,"M16",0.559016994374947,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium amorphae"
"rpoB_OTU_6","rpoB_OTU_6",8,383,2.18020048713051,"M14",0.159300612586705,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_10","rpoB_OTU_10",8,1403,1.57730124894219,"M3",0.655005540483832,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_11","rpoB_OTU_11",8,2812,1.62299873726077,"M6",0.0865799964393978,0.58,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_13","rpoB_OTU_13",6,0,1.30900393040293,"M19",-0.418330013267038,0.84375,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella bacilliformis"
"rpoB_OTU_14","rpoB_OTU_14",4,0,1.43463875818824,"M16",-0.559016994374947,0.65625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_15","rpoB_OTU_15",7,1112,1.20190481661264,"M6",-0.404039983383856,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_19","rpoB_OTU_19",8,3753,1.19564750933821,"M4",0.563111346773197,0.32,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens group"
"rpoB_OTU_20","rpoB_OTU_20",10,4479,1.09295972932305,"M14",1.19475459440029,0.68,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_21","rpoB_OTU_21",6,1529,1.06430276639958,"M19",-0.418330013267038,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_23","rpoB_OTU_23",6,444,1.05745194115731,"M6",-0.89465996320711,0.727272727272727,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_29","rpoB_OTU_29",10,1319,0.832342976767637,"M4",1.75190196773884,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_34","rpoB_OTU_34",6,465,0.706403614725737,"M13",0.92980214008381,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium etli"
"rpoB_OTU_35","rpoB_OTU_35",5,161,0.67401431457342,"M4",-1.22007458467526,0.78125,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_38","rpoB_OTU_38",10,1988,0.583409186650356,"M6",1.06781995608591,0.693877551020408,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella bacilliformis"
"rpoB_OTU_42","rpoB_OTU_42",8,0,0.700685547636888,"M6",0.0865799964393978,0.8,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_43","rpoB_OTU_43",6,3036,0.654448059348334,"M2",0.988663009045319,0.448979591836735,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium loti"
"rpoB_OTU_49","rpoB_OTU_49",8,1615,0.666883000230103,"M4",0.563111346773197,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_50","rpoB_OTU_50",6,1187,0.563895454333643,"M14",-0.87615336922688,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_65","rpoB_OTU_65",11,5154,0.455777505556955,"M6",1.55843993590916,0.839506172839506,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium oligotrophicum"
"rpoB_OTU_70","rpoB_OTU_70",8,2511,0.450948325780785,"M6",0.0865799964393978,0.277777777777778,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_71","rpoB_OTU_71",7,3448,0.451909100936218,"M14",-0.358426378320087,0.72,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis","Methylocystis rosea"
"rpoB_OTU_73","rpoB_OTU_73",4,881,0.875942918244246,"M7",0.247972167951227,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium leguminosarum"
"rpoB_OTU_83","rpoB_OTU_83",6,325,0.379417328818993,"M4",-0.625679274192441,0.641975308641975,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_85","rpoB_OTU_85",6,1112,0.370024344596818,"M15",0.240123702252396,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti"
"rpoB_OTU_89","rpoB_OTU_89",5,195,0.263324063121617,"M14",-1.39388036013367,0.72,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_93","rpoB_OTU_93",8,244,0.372713013991387,"M10",1.06497756558055,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_94","rpoB_OTU_94",7,2077,0.420148707697583,"M7",2.05462653445302,0.64,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_96","rpoB_OTU_96",7,1297,0.351563124517032,"M18",1.24721912892465,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_98","rpoB_OTU_98",8,673,0.367945240207308,"M8",2.05582937673084,0.48,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"rpoB_OTU_102","rpoB_OTU_102",8,0,0.376577967785083,"M4",0.563111346773197,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_107","rpoB_OTU_107",7,6112,0.332584116695276,"M10",0.399366587092706,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
