,name,Genus
rpoB_OTU_2,rpoB_OTU_2,Others
rpoB_OTU_3,rpoB_OTU_3,Mesorhizobium
rpoB_OTU_6,rpoB_OTU_6,Bradyrhizobium
rpoB_OTU_10,rpoB_OTU_10,Afipia
rpoB_OTU_11,rpoB_OTU_11,Afipia
rpoB_OTU_13,rpoB_OTU_13,Bartonella
rpoB_OTU_14,rpoB_OTU_14,Brucella
rpoB_OTU_15,rpoB_OTU_15,Brucella
rpoB_OTU_19,rpoB_OTU_19,Others
rpoB_OTU_20,rpoB_OTU_20,Bradyrhizobium
rpoB_OTU_21,rpoB_OTU_21,Bradyrhizobium
rpoB_OTU_23,rpoB_OTU_23,Bradyrhizobium
rpoB_OTU_29,rpoB_OTU_29,Bradyrhizobium
rpoB_OTU_34,rpoB_OTU_34,Others
rpoB_OTU_35,rpoB_OTU_35,Bradyrhizobium
rpoB_OTU_38,rpoB_OTU_38,Bartonella
rpoB_OTU_42,rpoB_OTU_42,Afipia
rpoB_OTU_43,rpoB_OTU_43,Mesorhizobium
rpoB_OTU_49,rpoB_OTU_49,Bradyrhizobium
rpoB_OTU_50,rpoB_OTU_50,Bradyrhizobium
rpoB_OTU_65,rpoB_OTU_65,Bradyrhizobium
rpoB_OTU_70,rpoB_OTU_70,Bradyrhizobium
rpoB_OTU_71,rpoB_OTU_71,Others
rpoB_OTU_73,rpoB_OTU_73,Others
rpoB_OTU_83,rpoB_OTU_83,Bradyrhizobium
rpoB_OTU_85,rpoB_OTU_85,Others
rpoB_OTU_89,rpoB_OTU_89,Bradyrhizobium
rpoB_OTU_93,rpoB_OTU_93,Afipia
rpoB_OTU_94,rpoB_OTU_94,Bradyrhizobium
rpoB_OTU_96,rpoB_OTU_96,Bradyrhizobium
rpoB_OTU_98,rpoB_OTU_98,Afipia
rpoB_OTU_102,rpoB_OTU_102,Bradyrhizobium
rpoB_OTU_107,rpoB_OTU_107,Bradyrhizobium
rpoB_OTU_108,rpoB_OTU_108,Afipia
rpoB_OTU_110,rpoB_OTU_110,Others
rpoB_OTU_112,rpoB_OTU_112,Bradyrhizobium
rpoB_OTU_116,rpoB_OTU_116,Afipia
rpoB_OTU_120,rpoB_OTU_120,Bradyrhizobium
rpoB_OTU_124,rpoB_OTU_124,Afipia
