"","PNA_rpoB","PPA_rpoB"
"CH2.1",-0.0131017270357319,0.0378092419543496
"CH2.2",-0.0144055673026984,0.0376335995685455
"CH2.3",-0.016807072559046,0.0304356804624814
"CH3.1",-0.0118077570285795,0.0328629020692356
"CH3.2",-0.0133044566608015,0.0344178507888358
"CH3.3",-0.0571495791920931,0.062694523236404
"CH4.1",-0.0142641010617399,0.0377662770089956
"CH4.2",-0.0157788259436403,0.0371501931917218
"CH4.3",-0.058953081719795,0.020368358892876
"CH5.1",-0.0117542921795301,0.0528814485762464
"CH5.2",-0.0123455264178175,0.044505733855063
"CH5.3",-0.0162540631089587,0.0365864191881873
"CH6.1",-0.015513092173595,0.0463745040537261
"CH6.2",-0.0127126552434521,0.0423632416645995
"CH6.3",-0.0134020706205253,0.0441078125524343
"CH7.1",-0.0150833109395093,0.0368527041107802
"CH7.2",-0.0116150327155791,0.0433234072594044
"CH7.3",-0.0106773796904021,0.0407662048439955
