"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_101","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","MO_G18"
"OTU_102","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","MO_G23"
"OTU_103","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_104","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","MO_G23"
"OTU_1043","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_105","Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Alguacil12a_Para_1"
"OTU_1051","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_106","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glo16"
"OTU_107","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","MO_GC2"
"OTU_10","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_108","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glo16"
"OTU_109","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_110","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"OTU_111","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_112","Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus",""
"OTU_113","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",""
"OTU_11","Fungi","Glomeromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Pa_1"
"OTU_114","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_116","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glo16"
"OTU_117","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_1186","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_119","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_120","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_1209","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_121","Fungi","Glomeromycota","Glomeromycetes","","","",""
"OTU_12","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","MO_G7"
"OTU_124","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","viscosum"
"OTU_125","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Yamato08_A1"
"OTU_127","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","MO_G22"
