"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1000","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_1001","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",""
"OTU_100","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","","",""
"OTU_1002","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_1003","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola",""
"OTU_1004","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1005","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","metagenome"
"OTU_1006","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_bacterium"
"OTU_1007","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured","uncultured_bacterium"
"OTU_1008","Bacteria","Chloroflexi","KD4-96","","","",""
"OTU_1010","Bacteria","Actinobacteria","Acidimicrobiia","uncultured","","",""
"OTU_101","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_Gemmatimonadetes_bacterium"
"OTU_1012","Bacteria","Actinobacteria","0319-7L14","","","",""
"OTU_1013","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_1015","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured","",""
"OTU_1016","Bacteria","Actinobacteria","Acidimicrobiia","uncultured","","",""
"OTU_1017","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","metagenome"
"OTU_1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","",""
"OTU_1019","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter",""
"OTU_1020","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",""
"OTU_1022","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","",""
"OTU_1023","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","",""
"OTU_1024","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","",""
"OTU_1025","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","",""
"OTU_1026","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Blastocatellales","Blastocatellaceae","Stenotrophobacter","uncultured_bacterium"
"OTU_1027","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","","",""
"OTU_1028","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",""
"OTU_102","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea",""
"OTU_1029","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","",""
"OTU_1030","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_103","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1032","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"OTU_1033","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncultured","uncultured_delta_proteobacterium"
"OTU_1034","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1036","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_1037","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","",""
"OTU_1038","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",""
"OTU_1039","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",""
"OTU_1041","Bacteria","Chloroflexi","Dehalococcoidia","S085","","",""
"OTU_104","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured",""
"OTU_1042","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1043","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea",""
"OTU_1044","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",""
"OTU_1045","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_1046","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","","",""
"OTU_1047","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncultured",""
"OTU_1048","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1049","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",""
"OTU_1050","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","","","",""
"OTU_10","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",""
"OTU_1051","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","",""
"OTU_105","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","",""
"OTU_1052","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"OTU_1053","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",""
"OTU_1054","Bacteria","Chloroflexi","Anaerolineae","","","",""
"OTU_1055","Bacteria","Actinobacteria","Acidimicrobiia","","","",""
"OTU_1057","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","","",""
"OTU_1058","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","",""
"OTU_1059","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","",""
"OTU_1060","Bacteria","Proteobacteria","Deltaproteobacteria","","","",""
"OTU_1061","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","",""
"OTU_1062","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured",""
"OTU_106","Bacteria","Acidobacteria","Blastocatellia_Subgroup_4","Pyrinomonadales","Pyrinomonadaceae","RB41",""
"OTU_1063","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","",""
"OTU_1065","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",""
"OTU_1066","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_1067","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","",""
